,0
0,0.0
1,0.625
2,0.71875
3,0.75
4,0.5625
5,0.84375
6,0.84375
7,0.75
8,0.78125
9,0.84375
10,0.875
11,0.65625
12,0.875
13,0.875
14,0.84375
15,0.78125
16,0.875
17,0.71875
18,0.84375
19,0.84375
20,0.84375
21,0.75
22,0.875
23,0.875
24,0.78125
25,0.65625
26,0.84375
27,0.75
28,0.75
29,0.59375
30,0.75
31,0.5
32,0.75
33,0.59375
34,0.625
35,0.75
36,0.46875
37,0.8125
38,0.5
39,0.75
40,0.875
41,0.5
42,0.4375
43,0.5
44,0.53125
45,0.53125
46,0.71875
47,0.59375
48,0.5625
49,0.53125
50,0.625
51,0.65625
52,0.53125
53,0.375
54,0.4375
55,0.65625
56,0.46875
57,0.53125
58,0.59375
59,0.6875
60,0.5625
61,0.5
62,0.5625
63,0.40625
64,0.4375
65,0.65625
66,0.40625
67,0.71875
68,0.6875
69,0.375
70,0.625
71,0.375
72,0.46875
73,0.46875
74,0.4375
75,0.4375
76,0.375
77,0.40625
78,0.5
79,0.4375
80,0.5
81,0.375
82,0.34375
83,0.53125
84,0.6875
85,0.375
86,0.53125
87,0.5
88,0.46875
89,0.46875
90,0.46875
91,0.53125
92,0.625
93,0.40625
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.53125
113,0.46875
114,0.4375
115,0.5625
116,0.625
117,0.53125
118,0.53125
119,0.53125
120,0.5625
121,0.4375
122,0.40625
123,0.40625
124,0.59375
125,0.40625
126,0.40625
127,0.5625
128,0.6875
129,0.46875
130,0.4375
131,0.59375
132,0.5625
133,0.5
134,0.25
135,0.4375
136,0.625
137,0.4375
138,0.5625
139,0.40625
140,0.5625
141,0.5625
142,0.59375
143,0.53125
144,0.4375
145,0.46875
146,0.5625
147,0.59375
148,0.40625
149,0.5
150,0.46875
151,0.34375
152,0.59375
153,0.53125
154,0.59375
155,0.4375
156,0.46875
157,0.53125
158,0.5
159,0.53125
160,0.625
161,0.53125
162,0.34375
163,0.71875
164,0.625
165,0.4375
166,0.46875
167,0.375
168,0.4375
169,0.53125
170,0.375
171,0.5
172,0.5
173,0.59375
174,0.53125
175,0.5
176,0.34375
177,0.65625
178,0.40625
179,0.40625
180,0.46875
181,0.375
182,0.4375
183,0.53125
184,0.34375
185,0.5625
186,0.625
