,0
0,0.125
1,0.1875
2,0.53125
3,0.6875
4,0.65625
5,0.75
6,0.8125
7,0.75
8,0.84375
9,0.90625
10,0.84375
11,0.90625
12,0.9375
13,0.84375
14,0.9375
15,0.8125
16,0.71875
17,0.78125
18,0.71875
19,0.75
20,0.875
21,0.78125
22,0.71875
23,0.78125
24,0.875
25,0.78125
26,0.5625
27,0.65625
28,0.75
29,0.5625
30,0.53125
31,0.625
32,0.40625
33,0.46875
34,0.15625
35,0.375
36,0.34375
37,0.4375
38,0.21875
39,0.125
40,0.0625
41,0.125
42,0.09375
43,0.15625
44,0.1875
45,0.09375
46,0.03125
47,0.1875
48,0.1875
49,0.0625
50,0.09375
51,0.0625
52,0.15625
53,0.09375
54,0.09375
55,0.0
56,0.0
57,0.09375
58,0.1875
59,0.28125
60,0.0625
61,0.09375
62,0.03125
63,0.09375
64,0.09375
65,0.09375
66,0.09375
67,0.0625
68,0.15625
69,0.125
70,0.09375
71,0.15625
72,0.09375
73,0.15625
74,0.125
75,0.15625
76,0.15625
77,0.15625
78,0.03125
79,0.125
80,0.03125
81,0.0625
82,0.03125
83,0.125
84,0.03125
85,0.15625
86,0.125
87,0.09375
88,0.15625
89,0.25
90,0.125
91,0.125
92,0.0625
93,0.15625
94,0.03125
95,0.09375
96,0.0625
97,0.125
98,0.09375
99,0.03125
100,0.125
101,0.15625
102,0.09375
103,0.0
104,0.0625
105,0.0625
106,0.0625
107,0.09375
108,0.125
109,0.03125
110,0.125
111,0.09375
112,0.1875
113,0.0625
114,0.03125
115,0.09375
116,0.09375
117,0.0625
118,0.0625
119,0.0625
120,0.09375
121,0.03125
122,0.03125
123,0.125
124,0.0625
125,0.0625
126,0.0625
127,0.125
128,0.1875
129,0.03125
130,0.15625
131,0.0625
132,0.125
133,0.0625
134,0.125
135,0.15625
136,0.1875
137,0.15625
138,0.09375
139,0.15625
140,0.03125
141,0.125
142,0.15625
143,0.09375
144,0.03125
145,0.15625
146,0.03125
147,0.15625
148,0.0
149,0.03125
150,0.15625
151,0.125
152,0.125
153,0.03125
154,0.0625
155,0.1875
156,0.21875
157,0.0625
158,0.09375
159,0.09375
160,0.125
161,0.09375
162,0.0625
163,0.21875
164,0.09375
165,0.09375
166,0.03125
167,0.0625
168,0.0625
169,0.0
170,0.15625
171,0.09375
172,0.125
173,0.09375
174,0.0625
175,0.03125
176,0.0625
177,0.125
178,0.125
179,0.09375
180,0.0625
181,0.15625
182,0.09375
183,0.125
184,0.0625
185,0.125
186,0.03125
187,0.09375
188,0.15625
189,0.03125
190,0.09375
191,0.125
192,0.03125
193,0.09375
194,0.125
195,0.0625
196,0.0625
197,0.09375
198,0.0625
199,0.03125
200,0.25
201,0.0625
202,0.03125
203,0.0625
204,0.09375
205,0.15625
206,0.09375
207,0.0625
208,0.15625
209,0.125
210,0.09375
211,0.09375
212,0.0625
213,0.0625
214,0.125
215,0.0625
216,0.03125
217,0.03125
218,0.0625
219,0.125
220,0.125
221,0.03125
222,0.125
223,0.125
224,0.15625
225,0.125
226,0.09375
227,0.0625
228,0.0625
229,0.03125
230,0.03125
231,0.125
232,0.15625
233,0.03125
234,0.09375
235,0.125
236,0.15625
237,0.1875
238,0.125
239,0.21875
240,0.09375
241,0.09375
242,0.25
243,0.09375
244,0.1875
245,0.125
246,0.125
247,0.09375
248,0.0625
249,0.125
250,0.03125
251,0.0625
252,0.1875
253,0.09375
254,0.09375
255,0.0625
256,0.15625
257,0.03125
258,0.09375
259,0.03125
260,0.125
261,0.125
262,0.0625
263,0.03125
264,0.125
265,0.125
266,0.1875
267,0.09375
268,0.15625
269,0.125
270,0.125
271,0.125
272,0.0625
273,0.0625
274,0.09375
275,0.125
276,0.0
277,0.09375
278,0.09375
279,0.125
280,0.09375
281,0.09375
282,0.0625
283,0.125
284,0.09375
285,0.125
286,0.03125
287,0.15625
288,0.15625
289,0.09375
290,0.09375
291,0.15625
292,0.0
293,0.15625
294,0.21875
295,0.0625
296,0.0625
297,0.09375
298,0.0625
299,0.125
300,0.0625
301,0.0625
302,0.15625
303,0.03125
304,0.125
305,0.125
306,0.0625
307,0.0625
308,0.03125
309,0.125
310,0.03125
311,0.125
312,0.09375
313,0.09375
314,0.0625
315,0.0625
316,0.1875
317,0.03125
318,0.0625
319,0.0
320,0.09375
321,0.0625
322,0.09375
323,0.0625
324,0.09375
325,0.0625
326,0.125
327,0.0625
328,0.125
329,0.125
330,0.09375
331,0.125
332,0.0625
333,0.21875
334,0.125
335,0.03125
336,0.03125
337,0.09375
338,0.125
339,0.21875
340,0.125
341,0.0625
342,0.09375
343,0.125
344,0.15625
345,0.0625
346,0.125
347,0.0625
348,0.03125
349,0.03125
350,0.03125
351,0.03125
352,0.09375
353,0.15625
354,0.15625
355,0.09375
356,0.15625
357,0.15625
358,0.0
359,0.15625
360,0.125
361,0.09375
362,0.125
363,0.125
364,0.1875
365,0.03125
366,0.15625
367,0.0625
368,0.09375
369,0.1875
370,0.03125
371,0.09375
372,0.0625
373,0.0625
374,0.12903225806451613
