,0
0,0.09375
1,0.125
2,0.125
3,0.1875
4,0.0625
5,0.15625
6,0.09375
7,0.1875
8,0.03125
9,0.21875
10,0.0625
11,0.34375
12,0.15625
13,0.125
14,0.09375
15,0.09375
16,0.21875
17,0.03125
18,0.09375
19,0.125
20,0.34375
21,0.1875
22,0.21875
23,0.09375
24,0.25
25,0.375
26,0.21875
27,0.21875
28,0.4375
29,0.28125
30,0.25
31,0.1875
32,0.1875
33,0.21875
34,0.1875
35,0.25
36,0.28125
37,0.40625
38,0.3125
39,0.1875
40,0.15625
41,0.4375
42,0.1875
43,0.21875
44,0.4375
45,0.28125
46,0.53125
47,0.53125
48,0.4375
49,0.28125
50,0.59375
51,0.40625
52,0.4375
53,0.78125
54,0.4375
55,0.40625
56,0.375
57,0.5625
58,0.5625
59,0.59375
60,0.3125
61,0.46875
62,0.375
63,0.46875
64,0.53125
65,0.71875
66,0.375
67,0.71875
68,0.59375
69,0.5625
70,0.5625
71,0.4375
72,0.6875
73,0.625
74,0.4375
75,0.625
76,0.53125
77,0.40625
78,0.53125
79,0.5
80,0.59375
81,0.65625
82,0.46875
83,0.5625
84,0.53125
85,0.65625
86,0.59375
87,0.5625
88,0.65625
89,0.75
90,0.625
91,0.625
92,0.5625
93,0.5625
94,0.46875
95,0.34375
96,0.625
97,0.625
98,0.5
99,0.40625
100,0.53125
101,0.71875
102,0.40625
103,0.4375
104,0.6875
105,0.46875
106,0.65625
107,0.5
108,0.53125
109,0.375
110,0.40625
111,0.5
112,0.71875
113,0.4375
114,0.53125
115,0.5
116,0.65625
117,0.46875
118,0.59375
119,0.59375
120,0.5
121,0.78125
122,0.53125
123,0.59375
124,0.40625
125,0.625
126,0.5
127,0.53125
128,0.8125
129,0.53125
130,0.40625
131,0.65625
132,0.65625
133,0.5625
134,0.46875
135,0.625
136,0.5
137,0.65625
138,0.6875
139,0.59375
140,0.75
141,0.71875
142,0.75
143,0.65625
144,0.5
145,0.6875
146,0.59375
147,0.625
148,0.5625
149,0.65625
150,0.53125
151,0.625
152,0.8125
153,0.65625
154,0.6875
155,0.6875
156,0.84375
157,0.46875
158,0.65625
159,0.71875
160,0.625
161,0.625
162,0.59375
163,0.75
164,0.78125
165,0.71875
166,0.6875
167,0.65625
168,0.625
169,0.71875
170,0.8125
171,0.84375
172,0.78125
173,0.65625
174,0.75
175,0.59375
176,0.8125
177,0.71875
178,0.59375
179,0.875
180,0.71875
181,0.59375
182,0.625
183,0.78125
184,0.6875
185,0.71875
186,0.6875
