,0
0,0.375
1,0.59375
2,0.625
3,0.75
4,0.84375
5,0.78125
6,0.8125
7,0.8125
8,0.75
9,1.0
10,0.84375
11,0.90625
12,0.8125
13,0.875
14,0.8125
15,0.75
16,0.8125
17,0.75
18,0.8125
19,0.8125
20,0.875
21,0.875
22,0.84375
23,0.875
24,0.84375
25,0.75
26,0.6875
27,0.78125
28,0.84375
29,0.8125
30,0.8125
31,0.84375
32,0.875
33,0.84375
34,0.84375
35,0.90625
36,0.6875
37,0.65625
38,0.78125
39,0.65625
40,0.90625
41,0.875
42,0.6875
43,0.875
44,0.90625
45,0.625
46,0.8125
47,0.75
48,0.875
49,0.71875
50,0.9375
51,0.84375
52,0.78125
53,0.8125
54,0.8125
55,0.78125
56,0.8125
57,0.78125
58,0.9375
59,0.84375
60,0.75
61,0.90625
62,0.8125
63,0.65625
64,0.8125
65,0.875
66,0.75
67,0.84375
68,0.875
69,0.78125
70,0.84375
71,0.78125
72,0.875
73,0.71875
74,0.75
75,0.71875
76,0.9375
77,0.875
78,0.78125
79,0.84375
80,0.75
81,0.78125
82,0.78125
83,0.9375
84,0.71875
85,0.8125
86,0.84375
87,0.6875
88,0.84375
89,0.78125
90,0.96875
91,0.8125
92,0.8125
93,0.78125
94,0.84375
95,0.84375
96,0.8125
97,0.6875
98,0.8125
99,0.78125
100,0.84375
101,0.8125
102,0.84375
103,0.8125
104,0.8125
105,0.96875
106,0.78125
107,0.71875
108,0.78125
109,0.90625
110,0.875
111,0.84375
112,0.78125
113,0.78125
114,0.78125
115,0.75
116,0.71875
117,0.90625
118,0.84375
119,0.90625
120,0.875
121,0.84375
122,0.875
123,0.96875
124,0.84375
125,0.8125
126,0.78125
127,0.875
128,0.84375
129,0.65625
130,0.875
131,0.8125
132,0.9375
133,0.90625
134,0.875
135,0.90625
136,0.8125
137,0.75
138,0.78125
139,0.90625
140,0.71875
141,0.84375
142,0.9375
143,0.75
144,0.75
145,0.84375
146,0.9375
147,0.84375
148,0.71875
149,0.78125
150,0.9375
151,0.78125
152,0.78125
153,0.90625
154,0.875
155,0.78125
156,0.8125
157,0.8125
158,0.875
159,0.75
160,0.6875
161,0.84375
162,0.84375
163,0.78125
164,0.75
165,0.84375
166,0.84375
167,0.78125
168,0.875
169,0.8125
170,0.9375
171,0.9375
172,0.875
173,0.84375
174,0.84375
175,0.875
176,0.78125
177,0.875
178,0.875
179,0.90625
180,0.84375
181,0.8125
182,0.875
183,0.90625
184,0.875
185,0.6875
186,0.8125
187,0.4375
188,0.125
189,0.71875
190,0.75
191,0.8125
192,0.71875
193,0.71875
194,0.78125
195,0.8125
196,0.71875
197,0.6875
198,0.71875
199,0.71875
200,0.84375
201,0.75
202,0.6875
203,0.875
204,0.84375
205,0.6875
206,0.78125
207,0.84375
208,0.875
209,0.71875
210,0.78125
211,0.78125
212,0.71875
213,0.84375
214,0.75
215,0.8125
216,0.71875
217,0.75
218,0.8125
219,0.8125
220,0.84375
221,0.8125
222,0.6875
223,0.71875
224,0.75
225,0.78125
226,0.78125
227,0.75
228,0.78125
229,0.75
230,0.8125
231,0.75
232,0.875
233,0.90625
234,0.75
235,0.78125
236,0.84375
237,0.875
238,0.78125
239,0.75
240,0.71875
241,0.78125
242,0.875
243,0.78125
244,0.84375
245,0.75
246,0.8125
247,0.65625
248,0.75
249,0.8125
250,0.84375
251,0.84375
252,0.8125
253,0.90625
254,0.84375
255,0.78125
256,0.84375
257,0.71875
258,0.9375
259,0.875
260,0.84375
261,0.75
262,0.71875
263,0.75
264,0.84375
265,0.84375
266,0.90625
267,0.75
268,0.90625
269,0.6875
270,0.8125
271,0.65625
272,0.75
273,0.875
274,0.90625
275,0.84375
276,0.625
277,0.875
278,0.75
279,0.84375
280,0.8125
281,0.6875
282,0.875
283,0.78125
284,0.78125
285,0.8125
286,0.8125
287,0.84375
288,0.6875
289,0.78125
290,0.90625
291,0.78125
292,0.84375
293,0.875
294,0.875
295,0.84375
296,0.59375
297,0.78125
298,0.84375
299,0.90625
300,0.8125
301,0.875
302,0.78125
303,0.84375
304,0.875
305,0.9375
306,0.8125
307,0.78125
308,0.78125
309,0.875
310,0.78125
311,0.75
312,0.71875
313,0.59375
314,0.75
315,0.6875
316,0.84375
317,0.6875
318,0.84375
319,0.71875
320,0.75
321,0.78125
322,0.75
323,0.75
324,0.6875
325,0.71875
326,0.65625
327,0.9375
328,0.84375
329,0.78125
330,0.71875
331,0.8125
332,0.75
333,0.84375
334,0.78125
335,0.84375
336,0.84375
337,0.8125
338,0.75
339,0.9375
340,0.8125
341,0.875
342,0.78125
343,0.78125
344,0.8125
345,0.75
346,0.90625
347,0.78125
348,0.6875
349,0.84375
350,0.9375
351,0.875
352,0.84375
353,0.75
354,0.9375
355,0.78125
356,0.78125
357,0.78125
358,0.875
359,0.6875
360,0.6875
361,0.78125
362,0.78125
363,0.75
364,0.84375
365,0.65625
366,0.9375
367,0.8125
368,0.78125
369,0.84375
370,0.8125
371,0.6875
372,0.875
373,0.78125
374,0.7741935483870968
