,0
0,0.0
1,0.5625
2,0.6875
3,0.875
4,0.71875
5,0.84375
6,0.84375
7,0.84375
8,0.78125
9,0.71875
10,0.90625
11,0.875
12,0.78125
13,0.84375
14,0.90625
15,0.875
16,0.84375
17,0.84375
18,0.84375
19,0.6875
20,0.90625
21,0.90625
22,0.90625
23,0.875
24,0.90625
25,0.78125
26,0.65625
27,0.78125
28,0.90625
29,0.875
30,0.65625
31,0.84375
32,0.78125
33,0.78125
34,0.875
35,0.8125
36,0.78125
37,0.78125
38,0.71875
39,0.875
40,0.78125
41,0.53125
42,0.71875
43,0.9375
44,0.84375
45,0.84375
46,0.875
47,0.71875
48,0.90625
49,0.875
50,0.875
51,0.84375
52,0.875
53,0.875
54,0.75
55,0.71875
56,0.75
57,0.6875
58,0.8125
59,0.78125
60,0.9375
61,0.96875
62,0.75
63,0.9375
64,0.875
65,0.8125
66,0.8125
67,0.875
68,0.96875
69,0.78125
70,0.875
71,0.8125
72,0.78125
73,0.8125
74,0.875
75,0.84375
76,0.78125
77,0.8125
78,0.84375
79,0.78125
80,0.9375
81,0.875
82,0.84375
83,0.90625
84,0.78125
85,0.84375
86,0.84375
87,0.84375
88,0.84375
89,0.875
90,0.84375
91,0.84375
92,0.78125
93,0.84375
94,0.75
95,0.875
96,0.8125
97,0.78125
98,0.96875
99,0.84375
100,0.84375
101,0.90625
102,0.90625
103,0.6875
104,0.8125
105,0.78125
106,0.84375
107,0.71875
108,0.84375
109,0.78125
110,0.8125
111,0.84375
112,0.84375
113,0.90625
114,0.71875
115,0.8125
116,0.90625
117,0.8125
118,0.90625
119,0.84375
120,0.8125
121,0.875
122,0.875
123,0.78125
124,0.75
125,0.875
126,0.84375
127,0.65625
128,0.84375
129,0.875
130,0.84375
131,0.9375
132,0.84375
133,0.90625
134,0.8125
135,0.78125
136,0.78125
137,0.78125
138,0.96875
139,0.84375
140,0.84375
141,0.65625
142,0.6875
143,0.875
144,0.78125
145,0.84375
146,0.78125
147,0.59375
148,0.8125
149,0.875
150,0.8125
151,0.90625
152,0.8125
153,0.90625
154,0.75
155,0.8125
156,0.84375
157,0.71875
158,0.8125
159,0.90625
160,0.84375
161,0.78125
162,0.71875
163,0.875
164,0.84375
165,0.90625
166,0.78125
167,0.75
168,0.875
169,0.875
170,0.78125
171,0.78125
172,0.84375
173,0.875
174,0.8125
175,0.9375
176,0.84375
177,0.875
178,0.9375
179,0.96875
180,0.90625
181,0.8125
182,0.75
183,0.9375
184,0.90625
185,0.75
186,0.875
187,0.3125
188,0.125
189,0.6875
190,0.65625
191,0.65625
192,0.84375
193,0.75
194,0.78125
195,0.71875
196,0.84375
197,0.59375
198,0.71875
199,0.90625
200,0.78125
201,0.6875
202,0.84375
203,0.71875
204,0.84375
205,0.5625
206,0.875
207,0.875
208,0.78125
209,0.84375
210,0.875
211,0.875
212,0.8125
213,0.84375
214,0.78125
215,0.8125
216,0.84375
217,0.78125
218,0.71875
219,0.75
220,0.84375
221,0.71875
222,0.84375
223,0.75
224,0.90625
225,0.8125
226,0.875
227,0.875
228,0.6875
229,0.78125
230,0.78125
231,0.75
232,0.78125
233,0.8125
234,0.6875
235,0.8125
236,0.75
237,0.78125
238,0.71875
239,0.75
240,0.625
241,0.84375
242,0.84375
243,0.78125
244,0.78125
245,0.71875
246,0.84375
247,0.75
248,0.71875
249,0.59375
250,0.84375
251,0.875
252,0.71875
253,0.8125
254,0.75
255,0.8125
256,0.78125
257,0.78125
258,0.78125
259,0.84375
260,0.75
261,0.84375
262,0.90625
263,0.8125
264,0.9375
265,0.78125
266,0.75
267,0.8125
268,0.78125
269,0.78125
270,0.75
271,0.78125
272,0.90625
273,0.8125
274,0.6875
275,0.875
276,0.84375
277,0.84375
278,0.71875
279,0.8125
280,0.84375
281,0.84375
282,0.84375
283,0.9375
284,0.8125
285,0.875
286,0.875
287,0.9375
288,0.9375
289,0.71875
290,0.71875
291,0.78125
292,0.84375
293,0.6875
294,0.875
295,0.84375
296,0.71875
297,0.875
298,0.8125
299,0.8125
300,0.90625
301,0.90625
302,0.84375
303,0.8125
304,0.84375
305,0.84375
306,0.84375
307,0.9375
308,0.71875
309,0.78125
310,0.75
311,0.75
312,0.875
313,0.78125
314,0.6875
315,0.75
316,0.78125
317,0.875
318,0.6875
319,0.75
320,0.78125
321,0.78125
322,0.6875
323,0.78125
324,0.71875
325,0.71875
326,0.78125
327,0.75
328,0.84375
329,0.875
330,0.84375
331,0.8125
332,0.78125
333,0.875
334,0.90625
335,0.9375
336,0.8125
337,0.8125
338,0.8125
339,0.8125
340,0.78125
341,0.84375
342,0.71875
343,0.6875
344,0.84375
345,0.8125
346,0.90625
347,0.8125
348,0.875
349,0.875
350,0.8125
351,0.78125
352,0.71875
353,0.875
354,0.8125
355,0.71875
356,0.8125
357,0.59375
358,0.75
359,0.84375
360,0.8125
361,0.78125
362,0.8125
363,0.71875
364,0.65625
365,0.71875
366,0.875
367,0.71875
368,0.65625
369,0.84375
370,0.71875
371,0.6875
372,0.8125
373,0.71875
374,0.8125
375,0.0
376,0.75
377,0.5625
378,0.5625
379,0.625
380,0.71875
381,0.71875
382,0.71875
383,0.90625
