,0
0,0.28125
1,0.59375
2,0.59375
3,0.6875
4,0.78125
5,0.8125
6,0.59375
7,0.53125
8,0.59375
9,0.625
10,0.75
11,0.5
12,0.5625
13,0.71875
14,0.84375
15,0.78125
16,0.84375
17,0.8125
18,0.625
19,0.625
20,0.84375
21,0.8125
22,0.8125
23,0.84375
24,0.8125
25,0.78125
26,0.90625
27,0.75
28,0.90625
29,0.75
30,0.78125
31,0.875
32,0.8125
33,0.90625
34,0.78125
35,0.75
36,0.75
37,0.875
38,0.75
39,0.78125
40,0.84375
41,0.84375
42,0.8125
43,0.75
44,0.84375
45,0.78125
46,0.8125
47,0.8125
48,0.78125
49,0.8125
50,0.8125
51,0.96875
52,0.9375
53,0.875
54,0.90625
55,0.875
56,0.96875
57,0.9375
58,0.96875
59,0.78125
60,0.9375
61,0.75
62,0.875
63,0.84375
64,0.90625
65,0.8125
66,0.75
67,0.8125
68,0.8125
69,0.90625
70,0.90625
71,0.78125
72,0.90625
73,0.8125
74,0.90625
75,0.90625
76,0.90625
77,1.0
78,0.75
79,0.9375
80,0.9375
81,0.8125
82,0.90625
83,0.90625
84,0.84375
85,0.875
86,0.875
87,0.90625
88,0.8125
89,0.875
90,0.875
91,0.84375
92,0.8125
93,0.625
94,0.0
95,0.0
96,0.34375
97,0.65625
98,0.625
99,0.65625
100,0.59375
101,0.65625
102,0.71875
103,0.65625
104,0.65625
105,0.5625
106,0.71875
107,0.78125
108,0.875
109,0.75
110,0.84375
111,0.625
112,0.84375
113,0.6875
114,0.6875
115,0.78125
116,0.5625
117,0.84375
118,0.84375
119,0.84375
120,0.875
121,0.8125
122,0.75
123,0.84375
124,0.65625
125,0.625
126,0.625
127,0.6875
128,0.84375
129,0.8125
130,0.8125
131,0.71875
132,0.6875
133,0.78125
134,0.84375
135,0.8125
136,0.8125
137,0.8125
138,0.84375
139,0.875
140,0.71875
141,0.8125
142,0.875
143,0.96875
144,0.65625
145,0.65625
146,0.8125
147,0.8125
148,0.78125
149,0.8125
150,0.6875
151,0.75
152,0.9375
153,0.90625
154,0.78125
155,0.75
156,0.78125
157,0.78125
158,0.875
159,0.875
160,0.90625
161,0.8125
162,0.875
163,0.71875
164,0.8125
165,0.75
166,0.9375
167,0.84375
168,0.78125
169,0.84375
170,0.84375
171,0.84375
172,0.84375
173,0.78125
174,0.78125
175,0.875
176,0.78125
177,0.8125
178,0.9375
179,0.71875
180,0.75
181,0.8125
182,0.90625
183,0.90625
184,0.8125
185,0.78125
186,0.875
