,0
0,0.4375
1,0.625
2,1.0
3,0.8125
4,0.90625
5,0.78125
6,0.9375
7,0.84375
8,0.9375
9,0.96875
10,0.90625
11,0.8125
12,0.90625
13,0.90625
14,0.9375
15,0.84375
16,0.96875
17,0.75
18,0.90625
19,0.9375
20,0.9375
21,0.84375
22,0.84375
23,0.90625
24,0.875
25,0.8125
26,0.875
27,0.875
28,0.90625
29,0.96875
30,0.875
31,0.9375
32,0.9375
33,0.96875
34,0.9375
35,0.84375
36,0.875
37,0.875
38,0.90625
39,0.9375
40,0.96875
41,0.9375
42,0.96875
43,0.9375
44,0.96875
45,1.0
46,0.84375
47,0.90625
48,0.96875
49,0.875
50,0.9375
51,1.0
52,0.84375
53,0.9375
54,0.84375
55,0.90625
56,0.875
57,0.8125
58,0.875
59,0.875
60,0.875
61,0.96875
62,0.90625
63,0.96875
64,0.90625
65,0.90625
66,0.875
67,0.875
68,0.90625
69,0.875
70,0.9375
71,0.90625
72,0.875
73,0.875
74,0.9375
75,0.78125
76,0.875
77,0.9375
78,0.90625
79,0.875
80,0.9375
81,0.84375
82,0.90625
83,0.96875
84,0.90625
85,0.8125
86,0.84375
87,0.90625
88,0.9375
89,0.96875
90,0.96875
91,0.96875
92,0.96875
93,0.65625
94,0.09375
95,0.8125
96,0.9375
97,0.84375
98,0.96875
99,0.78125
100,0.875
101,0.96875
102,0.90625
103,0.75
104,0.875
105,0.75
106,0.96875
107,0.90625
108,0.84375
109,0.875
110,0.9375
111,0.84375
112,0.875
113,0.8125
114,0.90625
115,0.84375
116,0.875
117,0.78125
118,0.9375
119,0.8125
120,0.84375
121,0.90625
122,0.90625
123,0.9375
124,0.875
125,0.96875
126,0.96875
127,0.84375
128,0.875
129,0.96875
130,0.9375
131,0.84375
132,0.90625
133,1.0
134,0.875
135,0.90625
136,0.9375
137,0.9375
138,0.9375
139,0.875
140,0.90625
141,0.96875
142,0.78125
143,0.75
144,0.8125
145,0.84375
146,0.96875
147,0.9375
148,0.96875
149,0.9375
150,0.9375
151,0.96875
152,0.90625
153,0.875
154,0.96875
155,0.90625
156,0.875
157,0.84375
158,0.9375
159,0.8125
160,0.8125
161,0.875
162,0.875
163,0.84375
164,0.90625
165,0.875
166,0.9375
167,0.90625
168,0.84375
169,0.90625
170,0.875
171,0.96875
172,0.9375
173,1.0
174,0.90625
175,0.96875
176,0.78125
177,0.9375
178,0.875
179,0.84375
180,0.90625
181,0.96875
182,0.875
183,0.96875
184,0.9375
185,0.90625
186,0.875
