,0
0,0.5
1,0.46875
2,0.9375
3,0.96875
4,0.875
5,0.90625
6,0.9375
7,0.78125
8,0.875
9,0.90625
10,0.875
11,0.90625
12,0.96875
13,0.9375
14,0.9375
15,0.90625
16,0.90625
17,0.9375
18,0.96875
19,0.875
20,0.96875
21,0.9375
22,0.875
23,0.84375
24,0.875
25,0.875
26,0.9375
27,0.9375
28,0.90625
29,0.9375
30,0.875
31,0.90625
32,0.875
33,0.96875
34,0.75
35,0.90625
36,0.75
37,0.90625
38,0.9375
39,0.90625
40,0.875
41,0.875
42,0.96875
43,0.875
44,0.90625
45,0.90625
46,0.90625
47,0.84375
48,0.90625
49,0.875
50,0.8125
51,0.875
52,0.9375
53,0.84375
54,0.96875
55,0.90625
56,0.9375
57,0.90625
58,0.9375
59,0.90625
60,0.90625
61,0.96875
62,0.8125
63,0.96875
64,0.875
65,0.9375
66,0.90625
67,0.90625
68,0.9375
69,0.84375
70,0.8125
71,0.90625
72,0.96875
73,0.9375
74,0.875
75,0.875
76,0.875
77,0.8125
78,0.90625
79,0.9375
80,0.875
81,0.84375
82,0.90625
83,0.875
84,0.96875
85,0.90625
86,0.90625
87,0.90625
88,0.96875
89,0.9375
90,0.9375
91,0.96875
92,0.96875
93,0.625
94,0.0
95,0.875
96,0.75
97,0.8125
98,0.875
99,0.84375
100,0.875
101,0.96875
102,0.90625
103,0.84375
104,0.84375
105,0.6875
106,0.9375
107,0.9375
108,0.8125
109,0.96875
110,0.9375
111,0.9375
112,0.875
113,0.90625
114,0.78125
115,0.875
116,0.84375
117,0.875
118,0.8125
119,0.90625
120,0.9375
121,0.9375
122,0.8125
123,0.90625
124,0.875
125,0.875
126,0.875
127,0.9375
128,0.9375
129,0.875
130,0.84375
131,0.875
132,0.84375
133,0.84375
134,0.8125
135,0.96875
136,0.875
137,0.90625
138,0.96875
139,0.8125
140,0.90625
141,0.90625
142,0.8125
143,0.875
144,0.84375
145,0.96875
146,0.96875
147,0.90625
148,0.875
149,0.78125
150,0.90625
151,1.0
152,0.8125
153,0.90625
154,0.8125
155,0.90625
156,0.96875
157,0.84375
158,0.84375
159,1.0
160,0.9375
161,0.875
162,0.84375
163,0.875
164,0.9375
165,0.84375
166,0.875
167,0.96875
168,0.9375
169,0.90625
170,0.9375
171,0.9375
172,0.8125
173,0.9375
174,0.84375
175,0.84375
176,0.9375
177,0.96875
178,0.96875
179,0.9375
180,0.9375
181,0.96875
182,0.9375
183,0.8125
184,0.875
185,0.8125
186,0.875
187,0.375
188,0.40625
189,0.875
190,0.78125
191,0.875
192,0.84375
193,0.875
194,0.84375
195,0.96875
196,0.90625
197,0.90625
198,0.9375
199,0.90625
200,1.0
201,0.9375
202,0.96875
203,0.90625
204,0.96875
205,1.0
206,0.96875
207,0.9375
208,1.0
209,0.96875
210,0.96875
211,0.9375
212,0.9375
213,1.0
214,0.9375
215,0.875
216,0.9375
217,0.875
218,0.84375
219,0.9375
220,0.9375
221,0.875
222,0.96875
223,0.9375
224,0.96875
225,0.9375
226,0.875
227,0.96875
228,0.875
229,0.96875
230,0.875
231,0.84375
232,0.9375
233,0.90625
234,0.84375
235,0.90625
236,0.9375
237,0.875
238,0.90625
239,0.90625
240,0.9375
241,0.90625
242,0.90625
243,1.0
244,0.9375
245,0.90625
246,0.875
247,0.875
248,0.875
249,0.90625
250,0.96875
251,0.9375
252,0.84375
253,0.78125
254,0.90625
255,0.96875
256,0.9375
257,0.90625
258,0.96875
259,0.875
260,0.90625
261,0.96875
262,0.9375
263,0.96875
264,0.875
265,0.90625
266,1.0
267,1.0
268,0.96875
269,1.0
270,0.96875
271,1.0
272,1.0
273,0.96875
274,0.9375
275,0.96875
276,0.90625
277,0.96875
278,0.96875
279,1.0
280,0.90625
