,0
0,0.03125
1,0.375
2,0.71875
3,0.84375
4,0.6875
5,0.84375
6,0.84375
7,0.84375
8,0.90625
9,0.90625
10,0.875
11,0.96875
12,0.96875
13,0.84375
14,0.96875
15,0.90625
16,0.875
17,1.0
18,0.96875
19,0.9375
20,0.96875
21,0.96875
22,0.96875
23,0.9375
24,0.875
25,1.0
26,0.90625
27,0.90625
28,0.9375
29,0.875
30,0.96875
31,0.90625
32,0.84375
33,0.96875
34,0.9375
35,0.90625
36,1.0
37,0.90625
38,0.9375
39,0.96875
40,0.96875
41,0.9375
42,0.90625
43,0.9375
44,0.90625
45,0.96875
46,1.0
47,0.90625
48,0.9375
49,0.9375
50,0.96875
51,1.0
52,0.9375
53,1.0
54,0.96875
55,0.96875
56,0.96875
57,0.96875
58,0.96875
59,0.96875
60,0.9375
61,0.96875
62,0.96875
63,0.90625
64,0.9375
65,0.96875
66,0.96875
67,0.90625
68,0.96875
69,0.96875
70,0.9375
71,0.96875
72,1.0
73,0.96875
74,1.0
75,0.9375
76,0.9375
77,0.875
78,1.0
79,0.96875
80,0.96875
81,0.90625
82,0.96875
83,0.96875
84,0.9375
85,0.96875
86,0.96875
87,0.96875
88,0.96875
89,1.0
90,1.0
91,0.9375
92,0.96875
93,0.90625
94,0.84375
95,0.84375
96,0.9375
97,0.96875
98,0.90625
99,1.0
100,0.96875
101,0.90625
102,0.90625
103,0.90625
104,0.90625
105,0.875
106,1.0
107,1.0
108,0.9375
109,0.875
110,0.90625
111,1.0
112,1.0
113,0.96875
114,0.96875
115,0.875
116,0.84375
117,0.90625
118,0.96875
119,0.90625
120,0.96875
121,0.96875
122,0.9375
123,0.9375
124,0.90625
125,0.84375
126,0.96875
127,0.90625
128,0.96875
129,0.8125
130,0.9375
131,0.875
132,0.96875
133,0.90625
134,0.96875
135,0.96875
136,0.875
137,0.96875
138,0.96875
139,0.90625
140,0.9375
141,1.0
142,0.96875
143,1.0
144,0.875
145,0.9375
146,1.0
147,1.0
148,0.96875
149,0.96875
150,1.0
151,1.0
152,1.0
153,1.0
154,0.96875
155,0.96875
156,1.0
157,1.0
158,0.96875
159,1.0
160,1.0
161,0.96875
162,0.90625
163,1.0
164,1.0
165,0.90625
166,0.9375
167,1.0
168,0.96875
169,0.9375
170,0.96875
171,0.96875
172,0.96875
173,0.96875
174,0.96875
175,0.9375
176,0.96875
177,1.0
178,0.96875
179,0.9375
180,1.0
181,1.0
182,0.9375
183,0.9375
184,0.96875
185,1.0
186,0.9375
