,0
0,0.40625
1,0.40625
2,0.5
3,0.375
4,0.5
5,0.59375
6,0.53125
7,0.53125
8,0.53125
9,0.5
10,0.59375
11,0.65625
12,0.40625
13,0.5625
14,0.6875
15,0.4375
16,0.75
17,0.46875
18,0.75
19,0.71875
20,0.53125
21,0.71875
22,0.40625
23,0.5
24,0.65625
25,0.4375
26,0.78125
27,0.75
28,0.40625
29,0.65625
30,0.5
31,0.46875
32,0.59375
33,0.46875
34,0.6875
35,0.78125
36,0.46875
37,0.78125
38,0.78125
39,0.71875
40,0.59375
41,0.65625
42,0.8125
43,0.5
44,0.75
45,0.625
46,0.90625
47,0.75
48,0.6875
49,0.71875
50,0.78125
51,0.6875
52,0.6875
53,0.5625
54,0.65625
55,0.59375
56,0.6875
57,0.65625
58,0.84375
59,0.71875
60,0.875
61,0.53125
62,0.75
63,0.71875
64,0.65625
65,0.75
66,0.5
67,0.84375
68,0.78125
69,0.5625
70,0.375
71,0.6875
72,0.6875
73,0.625
74,0.75
75,0.65625
76,0.5625
77,0.65625
78,0.65625
79,0.59375
80,0.65625
81,0.65625
82,0.40625
83,0.75
84,0.71875
85,0.59375
86,0.71875
87,0.5
88,0.5
89,0.625
90,0.6875
91,0.75
92,0.6875
93,0.71875
94,0.5
95,0.59375
96,0.46875
97,0.59375
98,0.6875
99,0.5625
100,0.84375
101,0.6875
102,0.75
103,0.5625
104,0.8125
105,0.6875
106,0.625
107,0.78125
108,0.78125
109,0.6875
110,0.78125
111,0.8125
112,0.75
113,0.625
114,0.8125
115,0.71875
116,0.71875
117,0.65625
118,0.5
119,0.53125
120,0.5625
121,0.71875
122,0.78125
123,0.65625
124,0.78125
125,0.8125
126,0.625
127,0.71875
128,0.59375
129,0.65625
130,0.625
131,0.84375
132,0.6875
133,0.59375
134,0.78125
135,0.625
136,0.59375
137,0.65625
138,0.78125
139,0.84375
140,0.625
141,0.6875
142,0.65625
143,0.53125
144,0.6875
145,0.6875
146,0.78125
147,0.78125
148,0.75
149,0.75
150,0.75
151,0.75
152,0.75
153,0.65625
154,0.6875
155,0.8125
156,0.71875
157,0.65625
158,0.71875
159,0.75
160,0.8125
161,0.65625
162,0.59375
163,0.8125
164,0.65625
165,0.78125
166,0.65625
167,0.65625
168,0.71875
169,0.625
170,0.8125
171,0.8125
172,0.75
173,0.71875
174,0.6875
175,0.6875
176,0.6875
177,0.84375
178,0.90625
179,0.84375
180,0.8125
181,0.78125
182,0.71875
183,0.65625
184,0.78125
185,0.65625
186,0.84375
187,0.34375
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.25
194,0.65625
195,0.59375
196,0.46875
197,0.65625
198,0.5
199,0.53125
200,0.40625
201,0.625
202,0.5
203,0.53125
204,0.59375
205,0.40625
206,0.53125
207,0.46875
208,0.40625
209,0.53125
210,0.59375
211,0.875
212,0.5625
213,0.5625
214,0.59375
215,0.59375
216,0.5
217,0.53125
218,0.625
219,0.71875
220,0.5625
221,0.65625
222,0.65625
223,0.65625
224,0.90625
225,0.71875
226,0.6875
227,0.625
228,0.59375
229,0.65625
230,0.75
231,0.78125
232,0.78125
233,0.75
234,0.6875
235,0.75
236,0.6875
237,0.6875
238,0.75
239,0.8125
240,0.6875
241,0.6875
242,0.65625
243,0.84375
244,0.71875
245,0.875
246,0.625
247,0.5625
248,0.84375
249,0.625
250,0.78125
251,0.6875
252,0.8125
253,0.625
254,0.625
255,0.5
256,0.6875
257,0.6875
258,0.6875
259,0.75
260,0.71875
261,0.6875
262,0.8125
263,0.78125
264,0.71875
265,0.71875
266,0.78125
267,0.78125
268,0.875
269,0.75
270,0.625
271,0.8125
272,0.84375
273,0.8125
274,0.59375
275,0.71875
276,0.65625
277,0.71875
278,0.71875
279,0.625
280,0.78125
281,0.90625
282,0.6875
283,0.78125
284,0.78125
285,0.78125
286,0.625
287,0.6875
288,0.8125
289,0.65625
290,0.8125
291,0.78125
292,0.8125
293,0.59375
294,0.6875
295,0.875
296,0.84375
297,0.71875
298,0.78125
299,0.625
300,0.75
301,0.65625
302,0.65625
303,0.6875
304,0.71875
305,0.71875
306,0.8125
307,0.8125
308,0.71875
309,0.84375
310,0.71875
311,0.71875
312,0.875
313,0.75
314,0.875
315,0.8125
316,0.84375
317,0.53125
318,0.625
319,0.84375
320,0.6875
321,0.75
322,0.875
323,0.8125
324,0.78125
325,0.75
326,0.71875
327,0.875
328,0.625
329,0.625
330,0.71875
331,0.78125
332,0.8125
333,0.65625
334,0.6875
335,0.8125
336,0.90625
337,0.875
338,0.6875
339,0.75
340,0.625
341,0.6875
342,0.71875
343,0.84375
344,0.78125
345,0.78125
346,0.78125
347,0.84375
348,0.875
349,0.84375
350,0.8125
351,0.8125
352,0.75
353,0.75
354,0.78125
355,0.875
356,0.78125
357,0.875
358,0.8125
359,0.75
360,0.71875
361,0.625
362,0.875
363,0.90625
364,0.78125
365,0.6875
366,0.75
367,0.84375
368,0.71875
369,0.75
370,0.84375
371,0.875
372,0.84375
373,0.71875
374,0.7741935483870968
