,0
0,0.09375
1,0.1875
2,0.0625
3,0.125
4,0.0625
5,0.21875
6,0.09375
7,0.21875
8,0.125
9,0.1875
10,0.09375
11,0.15625
12,0.125
13,0.1875
14,0.125
15,0.15625
16,0.21875
17,0.15625
18,0.3125
19,0.21875
20,0.1875
21,0.1875
22,0.21875
23,0.15625
24,0.25
25,0.3125
26,0.0625
27,0.21875
28,0.3125
29,0.34375
30,0.21875
31,0.25
32,0.09375
33,0.1875
34,0.125
35,0.1875
36,0.28125
37,0.25
38,0.125
39,0.03125
40,0.1875
41,0.21875
42,0.125
43,0.21875
44,0.375
45,0.3125
46,0.3125
47,0.34375
48,0.21875
49,0.15625
50,0.375
51,0.375
52,0.46875
53,0.53125
54,0.40625
55,0.21875
56,0.21875
57,0.375
58,0.46875
59,0.5
60,0.34375
61,0.3125
62,0.21875
63,0.34375
64,0.40625
65,0.5
66,0.40625
67,0.6875
68,0.59375
69,0.53125
70,0.4375
71,0.4375
72,0.46875
73,0.4375
74,0.375
75,0.53125
76,0.4375
77,0.375
78,0.4375
79,0.5625
80,0.5625
81,0.625
82,0.4375
83,0.375
84,0.4375
85,0.5625
86,0.53125
87,0.5
88,0.5
89,0.625
90,0.53125
91,0.625
92,0.46875
93,0.625
94,0.4375
95,0.28125
96,0.625
97,0.6875
98,0.34375
99,0.46875
100,0.5625
101,0.71875
102,0.59375
103,0.59375
104,0.59375
105,0.5625
106,0.5625
107,0.6875
108,0.59375
109,0.4375
110,0.4375
111,0.4375
112,0.75
113,0.59375
114,0.6875
115,0.53125
116,0.625
117,0.5625
118,0.75
119,0.5
120,0.59375
121,0.8125
122,0.5
123,0.71875
124,0.40625
125,0.65625
126,0.75
127,0.65625
128,0.90625
129,0.5625
130,0.6875
131,0.78125
132,0.71875
133,0.59375
134,0.59375
135,0.625
136,0.625
137,0.6875
138,0.78125
139,0.65625
140,0.6875
141,0.71875
142,0.8125
143,0.65625
144,0.6875
145,0.65625
146,0.8125
147,0.75
148,0.625
149,0.71875
150,0.5
151,0.65625
152,0.78125
153,0.78125
154,0.6875
155,0.8125
156,0.78125
157,0.59375
158,0.625
159,0.75
160,0.625
161,0.625
162,0.71875
163,0.75
164,0.75
165,0.6875
166,0.6875
167,0.6875
168,0.71875
169,0.78125
170,0.75
171,0.84375
172,0.78125
173,0.78125
174,0.78125
175,0.75
176,0.78125
177,0.78125
178,0.65625
179,0.9375
180,0.8125
181,0.75
182,0.75
183,0.8125
184,0.6875
185,0.8125
186,0.75
187,0.75
188,0.78125
189,0.875
190,0.71875
191,0.875
192,0.5625
193,0.75
194,0.78125
195,0.6875
196,0.625
197,0.875
198,0.71875
199,0.90625
200,0.75
201,0.75
202,0.71875
203,0.71875
204,0.75
205,0.71875
206,0.78125
207,0.59375
208,0.75
209,0.875
210,0.71875
211,0.625
212,0.65625
213,0.53125
214,0.8125
215,0.65625
216,0.65625
217,0.71875
218,0.65625
219,0.5625
220,0.65625
221,0.84375
222,0.90625
223,0.75
224,0.71875
225,0.75
226,0.78125
227,0.53125
228,0.65625
229,0.75
230,0.78125
231,0.90625
232,0.6875
233,0.75
234,0.71875
235,0.6875
236,0.90625
237,0.8125
238,0.65625
239,0.71875
240,0.8125
241,0.65625
242,0.75
243,0.8125
244,0.71875
245,0.78125
246,0.6875
247,0.65625
248,0.84375
249,0.6875
250,0.84375
251,0.78125
252,0.90625
253,0.6875
254,0.75
255,0.84375
256,0.6875
257,0.75
258,0.84375
259,0.625
260,0.75
261,0.8125
262,0.75
263,0.625
264,0.75
265,0.8125
266,0.875
267,0.84375
268,0.8125
269,0.75
270,0.8125
271,0.71875
272,0.5625
273,0.78125
274,0.71875
275,0.96875
276,0.625
277,0.71875
278,0.71875
279,0.875
280,0.8125
281,0.78125
282,0.9375
283,0.875
284,0.84375
285,0.875
286,0.84375
287,0.90625
288,0.90625
289,0.875
290,0.84375
291,0.8125
292,0.75
293,0.8125
294,0.8125
295,0.8125
296,0.9375
297,0.84375
298,0.75
299,0.9375
300,0.90625
301,0.8125
302,0.875
303,0.9375
304,0.875
305,0.8125
306,0.84375
307,1.0
308,0.8125
309,1.0
310,0.8125
311,0.875
312,0.9375
313,0.78125
314,0.875
315,0.875
316,0.90625
317,0.84375
318,0.8125
319,0.8125
320,0.8125
321,0.8125
322,0.90625
323,0.90625
324,0.9375
325,0.96875
326,0.84375
327,0.90625
328,0.96875
329,0.96875
330,0.84375
331,0.8125
332,0.90625
333,0.9375
334,0.90625
335,0.875
336,0.875
337,0.90625
338,0.9375
339,0.96875
340,0.84375
341,0.90625
342,1.0
343,0.9375
344,0.90625
345,0.96875
346,0.71875
347,0.9375
348,0.875
349,0.9375
350,0.875
351,0.9375
352,0.90625
353,0.9375
354,0.9375
355,0.9375
356,0.90625
357,0.9375
358,0.84375
359,0.90625
360,0.90625
361,0.8125
362,0.78125
363,0.9375
364,1.0
365,0.84375
366,0.78125
367,0.90625
368,0.75
369,0.9375
370,0.84375
371,0.96875
372,1.0
373,0.875
374,0.967741935483871
