,0
0,1.280568540096283e-08
1,4.936009645462036e-08
2,9.033828973770142e-08
3,9.685754776000977e-08
4,9.313225746154785e-08
5,1.0058283805847168e-07
6,8.754432201385498e-08
7,1.1548399925231934e-07
8,1.0989606380462646e-07
9,9.499490261077881e-08
10,9.12696123123169e-08
11,9.499490261077881e-08
12,1.0058283805847168e-07
13,1.043081283569336e-07
14,1.2665987014770508e-07
15,7.078051567077637e-08
16,1.1362135410308838e-07
17,9.685754776000977e-08
18,1.1175870895385742e-07
19,1.0244548320770264e-07
20,1.043081283569336e-07
21,9.313225746154785e-08
22,6.891787052154541e-08
23,1.0244548320770264e-07
24,1.0989606380462646e-07
25,9.499490261077881e-08
26,8.009374141693115e-08
27,8.009374141693115e-08
28,1.0989606380462646e-07
29,1.0803341865539551e-07
30,1.043081283569336e-07
31,1.0244548320770264e-07
32,7.078051567077637e-08
33,8.009374141693115e-08
34,1.0058283805847168e-07
35,9.12696123123169e-08
36,6.146728992462158e-08
37,8.009374141693115e-08
38,7.82310962677002e-08
39,8.195638656616211e-08
40,1.043081283569336e-07
41,8.381903171539307e-08
42,9.313225746154785e-08
43,8.754432201385498e-08
44,6.51925802230835e-08
45,8.940696716308594e-08
46,9.12696123123169e-08
47,9.313225746154785e-08
48,8.568167686462402e-08
49,8.568167686462402e-08
50,8.754432201385498e-08
51,7.078051567077637e-08
52,1.0058283805847168e-07
53,1.043081283569336e-07
54,8.568167686462402e-08
55,8.195638656616211e-08
56,8.568167686462402e-08
57,1.341104507446289e-07
58,5.774199962615967e-08
59,7.078051567077637e-08
60,6.332993507385254e-08
61,6.146728992462158e-08
62,8.568167686462402e-08
63,7.636845111846924e-08
64,8.754432201385498e-08
65,9.499490261077881e-08
66,1.0244548320770264e-07
67,5.960464477539063e-08
68,5.774199962615967e-08
69,7.450580596923828e-08
70,9.12696123123169e-08
71,4.470348358154297e-08
72,7.636845111846924e-08
73,6.146728992462158e-08
74,7.450580596923828e-08
75,9.12696123123169e-08
76,8.754432201385498e-08
77,7.264316082000732e-08
78,1.0617077350616455e-07
79,9.685754776000977e-08
80,7.82310962677002e-08
81,9.12696123123169e-08
82,5.960464477539063e-08
83,1.0803341865539551e-07
84,9.12696123123169e-08
85,6.891787052154541e-08
86,4.0978193283081055e-08
87,7.636845111846924e-08
88,9.499490261077881e-08
89,7.82310962677002e-08
90,8.568167686462402e-08
91,7.078051567077637e-08
92,1.0058283805847168e-07
93,1.1175870895385742e-07
94,8.754432201385498e-08
95,1.0989606380462646e-07
96,4.842877388000488e-08
97,1.043081283569336e-07
98,9.685754776000977e-08
99,5.587935447692871e-08
100,7.82310962677002e-08
101,6.51925802230835e-08
102,8.009374141693115e-08
103,7.82310962677002e-08
104,7.450580596923828e-08
105,9.12696123123169e-08
106,8.568167686462402e-08
107,8.381903171539307e-08
108,1.0989606380462646e-07
109,1.0058283805847168e-07
110,8.195638656616211e-08
111,8.195638656616211e-08
112,7.82310962677002e-08
113,1.1362135410308838e-07
114,1.1362135410308838e-07
115,5.4016709327697754e-08
116,8.009374141693115e-08
117,9.313225746154785e-08
118,9.12696123123169e-08
119,8.009374141693115e-08
120,8.009374141693115e-08
121,7.264316082000732e-08
122,4.470348358154297e-08
123,8.568167686462402e-08
124,8.195638656616211e-08
125,7.82310962677002e-08
126,4.6566128730773926e-08
127,8.009374141693115e-08
128,7.82310962677002e-08
129,9.872019290924072e-08
130,6.146728992462158e-08
131,9.499490261077881e-08
132,8.940696716308594e-08
133,9.499490261077881e-08
134,8.195638656616211e-08
135,1.210719347000122e-07
136,8.381903171539307e-08
137,1.043081283569336e-07
138,1.043081283569336e-07
139,8.940696716308594e-08
140,8.754432201385498e-08
141,8.754432201385498e-08
142,7.078051567077637e-08
143,9.12696123123169e-08
144,8.195638656616211e-08
145,8.568167686462402e-08
146,9.12696123123169e-08
147,9.499490261077881e-08
148,7.078051567077637e-08
149,9.499490261077881e-08
150,9.872019290924072e-08
151,9.499490261077881e-08
152,6.51925802230835e-08
153,5.4016709327697754e-08
154,5.960464477539063e-08
155,7.82310962677002e-08
156,7.636845111846924e-08
157,9.685754776000977e-08
158,5.960464477539063e-08
159,5.21540641784668e-08
160,7.636845111846924e-08
161,8.568167686462402e-08
162,7.264316082000732e-08
163,9.12696123123169e-08
164,9.499490261077881e-08
165,9.313225746154785e-08
166,8.381903171539307e-08
167,6.332993507385254e-08
168,8.754432201385498e-08
169,7.264316082000732e-08
170,1.0058283805847168e-07
171,8.195638656616211e-08
172,8.009374141693115e-08
173,7.264316082000732e-08
174,8.009374141693115e-08
175,7.264316082000732e-08
176,9.499490261077881e-08
177,8.195638656616211e-08
178,7.82310962677002e-08
179,9.872019290924072e-08
180,5.029141902923584e-08
181,8.195638656616211e-08
182,9.685754776000977e-08
183,1.0058283805847168e-07
184,6.146728992462158e-08
185,8.568167686462402e-08
186,8.009374141693115e-08
187,8.195638656616211e-08
188,4.0512531995773315e-08
189,6.05359673500061e-08
190,8.009374141693115e-08
191,7.636845111846924e-08
192,8.568167686462402e-08
193,1.0803341865539551e-07
194,8.568167686462402e-08
195,8.195638656616211e-08
196,7.078051567077637e-08
197,8.381903171539307e-08
198,7.078051567077637e-08
199,9.499490261077881e-08
200,9.685754776000977e-08
201,8.568167686462402e-08
202,1.0989606380462646e-07
203,8.009374141693115e-08
204,7.450580596923828e-08
205,8.754432201385498e-08
206,8.195638656616211e-08
207,8.195638656616211e-08
208,9.872019290924072e-08
209,1.1175870895385742e-07
210,5.21540641784668e-08
211,9.499490261077881e-08
212,6.891787052154541e-08
213,7.636845111846924e-08
214,1.0244548320770264e-07
215,6.705522537231445e-08
216,8.381903171539307e-08
217,9.313225746154785e-08
218,9.685754776000977e-08
219,9.313225746154785e-08
220,7.636845111846924e-08
221,1.0058283805847168e-07
222,1.0989606380462646e-07
223,8.940696716308594e-08
224,7.450580596923828e-08
225,1.0058283805847168e-07
226,9.313225746154785e-08
227,8.009374141693115e-08
228,8.381903171539307e-08
229,8.754432201385498e-08
230,1.0244548320770264e-07
231,9.685754776000977e-08
232,8.009374141693115e-08
233,7.450580596923828e-08
234,9.872019290924072e-08
235,8.940696716308594e-08
236,9.872019290924072e-08
237,7.078051567077637e-08
238,9.12696123123169e-08
239,8.754432201385498e-08
240,8.381903171539307e-08
241,8.009374141693115e-08
242,1.0244548320770264e-07
243,8.009374141693115e-08
244,9.313225746154785e-08
245,6.705522537231445e-08
246,7.078051567077637e-08
247,1.0803341865539551e-07
248,7.82310962677002e-08
249,8.381903171539307e-08
250,1.043081283569336e-07
251,9.499490261077881e-08
252,9.685754776000977e-08
253,9.12696123123169e-08
254,9.313225746154785e-08
255,8.009374141693115e-08
256,9.499490261077881e-08
257,9.872019290924072e-08
258,1.0244548320770264e-07
259,1.0617077350616455e-07
260,1.043081283569336e-07
261,8.381903171539307e-08
262,1.0803341865539551e-07
263,8.940696716308594e-08
264,8.754432201385498e-08
265,9.685754776000977e-08
266,8.009374141693115e-08
267,1.0058283805847168e-07
268,9.499490261077881e-08
269,1.1175870895385742e-07
270,1.2665987014770508e-07
271,7.264316082000732e-08
272,7.450580596923828e-08
273,7.078051567077637e-08
274,9.12696123123169e-08
275,8.568167686462402e-08
276,9.313225746154785e-08
277,7.450580596923828e-08
278,7.078051567077637e-08
279,1.0989606380462646e-07
280,9.685754776000977e-08
281,7.636845111846924e-08
282,9.12696123123169e-08
283,7.82310962677002e-08
284,1.0058283805847168e-07
285,7.636845111846924e-08
286,8.754432201385498e-08
287,1.0617077350616455e-07
288,8.009374141693115e-08
289,8.568167686462402e-08
290,8.381903171539307e-08
291,8.009374141693115e-08
292,6.891787052154541e-08
293,6.51925802230835e-08
294,8.009374141693115e-08
295,6.146728992462158e-08
296,9.12696123123169e-08
297,7.450580596923828e-08
298,7.264316082000732e-08
299,8.940696716308594e-08
300,8.381903171539307e-08
301,9.313225746154785e-08
302,9.872019290924072e-08
303,8.381903171539307e-08
304,1.0244548320770264e-07
305,8.381903171539307e-08
306,9.872019290924072e-08
307,1.0058283805847168e-07
308,9.685754776000977e-08
309,1.0058283805847168e-07
310,7.450580596923828e-08
311,9.313225746154785e-08
312,9.872019290924072e-08
313,1.0244548320770264e-07
314,1.0803341865539551e-07
315,8.940696716308594e-08
316,1.0989606380462646e-07
317,7.450580596923828e-08
318,8.381903171539307e-08
319,8.568167686462402e-08
320,7.82310962677002e-08
321,8.381903171539307e-08
322,7.264316082000732e-08
323,7.450580596923828e-08
324,8.195638656616211e-08
325,1.0058283805847168e-07
326,9.499490261077881e-08
327,8.940696716308594e-08
328,1.210719347000122e-07
329,9.499490261077881e-08
330,1.043081283569336e-07
331,8.009374141693115e-08
332,9.313225746154785e-08
333,8.381903171539307e-08
334,7.078051567077637e-08
335,8.568167686462402e-08
336,9.685754776000977e-08
337,7.82310962677002e-08
338,9.685754776000977e-08
339,8.195638656616211e-08
340,1.2293457984924316e-07
341,9.685754776000977e-08
342,8.754432201385498e-08
343,6.51925802230835e-08
344,9.313225746154785e-08
345,7.636845111846924e-08
346,7.264316082000732e-08
347,7.82310962677002e-08
348,7.82310962677002e-08
349,9.313225746154785e-08
350,8.009374141693115e-08
351,7.078051567077637e-08
352,9.685754776000977e-08
353,1.0244548320770264e-07
354,7.82310962677002e-08
355,9.499490261077881e-08
356,8.195638656616211e-08
357,5.4016709327697754e-08
358,1.0617077350616455e-07
359,9.12696123123169e-08
360,6.51925802230835e-08
361,8.195638656616211e-08
362,9.12696123123169e-08
363,8.940696716308594e-08
364,9.685754776000977e-08
365,8.195638656616211e-08
366,8.754432201385498e-08
367,9.872019290924072e-08
368,1.0244548320770264e-07
369,1.0058283805847168e-07
370,9.685754776000977e-08
371,1.0803341865539551e-07
372,8.754432201385498e-08
373,9.313225746154785e-08
374,6.152737341835746e-08
