,0
0,0.625
1,0.6875
2,0.8125
3,0.75
4,0.875
5,0.9375
6,0.875
7,0.9375
8,0.875
9,0.96875
10,0.84375
11,0.96875
12,0.96875
13,0.96875
14,0.78125
15,0.84375
16,0.90625
17,0.90625
18,0.90625
19,0.78125
20,0.78125
21,1.0
22,0.875
23,0.90625
24,0.90625
25,0.9375
26,0.90625
27,0.9375
28,0.96875
29,0.9375
30,0.9375
31,0.9375
32,0.96875
33,0.90625
34,0.875
35,0.9375
36,0.875
37,0.96875
38,0.75
39,0.78125
40,0.90625
41,0.84375
42,0.8125
43,1.0
44,0.8125
45,0.96875
46,0.9375
47,0.9375
48,0.90625
49,0.90625
50,0.96875
51,0.84375
52,0.90625
53,0.96875
54,0.96875
55,0.90625
56,0.9375
57,1.0
58,1.0
59,0.84375
60,0.9375
61,0.9375
62,0.875
63,0.96875
64,0.9375
65,0.96875
66,0.84375
67,1.0
68,0.875
69,0.875
70,0.90625
71,0.84375
72,0.9375
73,0.96875
74,0.90625
75,0.96875
76,0.90625
77,0.90625
78,0.9375
79,0.90625
80,0.8125
81,0.875
82,0.9375
83,0.84375
84,0.90625
85,0.9375
86,0.9375
87,0.8125
88,0.96875
89,0.96875
90,0.96875
91,0.9375
92,0.90625
93,0.6875
94,0.21875
95,0.96875
96,0.71875
97,0.9375
98,0.8125
99,0.90625
100,0.875
101,0.78125
102,0.8125
103,0.8125
104,0.8125
105,1.0
106,0.9375
107,0.84375
108,0.9375
109,0.875
110,0.90625
111,0.84375
112,0.90625
113,0.96875
114,0.9375
115,0.75
116,0.9375
117,0.96875
118,0.90625
119,0.8125
120,1.0
121,0.96875
122,0.8125
123,0.8125
124,0.9375
125,0.875
126,0.9375
127,0.84375
128,0.875
129,0.875
130,0.96875
131,0.9375
132,0.90625
133,0.84375
134,0.78125
135,0.96875
136,0.9375
137,0.90625
138,0.90625
139,0.78125
140,0.90625
141,0.8125
142,0.96875
143,0.90625
144,0.96875
145,0.96875
146,0.9375
147,0.96875
148,0.96875
149,0.96875
150,0.9375
151,0.96875
152,0.875
153,0.90625
154,0.78125
155,1.0
156,1.0
157,0.8125
158,0.96875
159,0.875
160,0.90625
161,0.9375
162,0.9375
163,0.96875
164,0.84375
165,0.8125
166,0.90625
167,1.0
168,0.90625
169,0.8125
170,0.90625
171,0.8125
172,0.875
173,0.90625
174,0.96875
175,0.875
176,0.875
177,0.875
178,0.875
179,0.875
180,0.96875
181,0.9375
182,0.9375
183,0.9375
184,0.9375
185,0.90625
186,0.84375
