,0
0,0.40625
1,0.71875
2,0.84375
3,0.875
4,0.875
5,0.96875
6,0.96875
7,0.90625
8,1.0
9,0.8125
10,0.90625
11,0.90625
12,0.875
13,0.90625
14,0.96875
15,0.84375
16,0.9375
17,0.84375
18,0.96875
19,0.90625
20,0.875
21,1.0
22,0.90625
23,0.96875
24,0.90625
25,0.90625
26,0.9375
27,0.9375
28,0.875
29,0.96875
30,0.96875
31,0.875
32,0.8125
33,0.875
34,0.75
35,0.90625
36,0.84375
37,0.96875
38,0.9375
39,0.84375
40,0.90625
41,0.96875
42,0.90625
43,0.875
44,0.96875
45,0.90625
46,0.9375
47,0.8125
48,0.875
49,0.9375
50,0.875
51,1.0
52,0.90625
53,0.96875
54,0.9375
55,0.8125
56,0.9375
57,0.96875
58,0.90625
59,0.875
60,0.875
61,1.0
62,0.84375
63,0.875
64,0.84375
65,0.96875
66,0.90625
67,0.9375
68,0.9375
69,0.96875
70,1.0
71,1.0
72,0.96875
73,0.875
74,0.9375
75,0.9375
76,0.9375
77,0.875
78,0.9375
79,0.96875
80,0.84375
81,0.90625
82,0.96875
83,0.875
84,0.96875
85,0.9375
86,1.0
87,0.90625
88,0.875
89,0.9375
90,0.9375
91,0.9375
92,0.90625
93,1.0
94,0.90625
95,0.9375
96,0.9375
97,0.90625
98,1.0
99,0.96875
100,0.84375
101,1.0
102,0.8125
103,0.9375
104,0.90625
105,0.96875
106,0.84375
107,0.875
108,0.9375
109,1.0
110,0.9375
111,0.90625
112,0.84375
113,0.90625
114,0.8125
115,0.90625
116,0.9375
117,0.9375
118,0.84375
119,0.9375
120,0.96875
121,0.9375
122,0.8125
123,0.90625
124,0.96875
125,0.90625
126,0.90625
127,0.9375
128,0.90625
129,1.0
130,0.96875
131,0.96875
132,1.0
133,1.0
134,0.9375
135,0.78125
136,1.0
137,1.0
138,0.9375
139,0.84375
140,0.90625
141,0.9375
142,0.9375
143,0.96875
144,0.9375
145,0.96875
146,0.9375
147,0.875
148,0.96875
149,0.90625
150,0.9375
151,0.96875
152,0.84375
153,0.96875
154,1.0
155,0.9375
156,1.0
157,0.96875
158,0.875
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,0.9375
165,0.9375
166,0.96875
167,0.875
168,1.0
169,1.0
170,0.84375
171,0.90625
172,0.90625
173,0.90625
174,0.96875
175,0.96875
176,1.0
177,0.9375
178,0.84375
179,0.96875
180,0.9375
181,0.875
182,0.90625
183,0.9375
184,1.0
185,0.96875
186,0.96875
187,0.375
188,0.34375
189,0.6875
190,0.6875
191,0.78125
192,0.875
193,0.84375
194,0.78125
195,0.9375
196,0.875
197,0.875
198,0.84375
199,0.84375
200,0.875
201,0.90625
202,0.8125
203,0.90625
204,0.9375
205,0.8125
206,0.9375
207,0.875
208,0.90625
209,0.875
210,0.9375
211,0.875
212,0.9375
213,0.9375
214,0.875
215,0.90625
216,0.9375
217,1.0
218,0.9375
219,0.9375
220,0.875
221,0.9375
222,0.78125
223,0.84375
224,0.78125
225,0.875
226,0.875
