,0
0,1.280568540096283e-08
1,5.4016709327697754e-08
2,7.82310962677002e-08
3,1.043081283569336e-07
4,1.0058283805847168e-07
5,8.940696716308594e-08
6,1.0244548320770264e-07
7,7.636845111846924e-08
8,1.1362135410308838e-07
9,8.195638656616211e-08
10,8.940696716308594e-08
11,9.499490261077881e-08
12,8.754432201385498e-08
13,1.0617077350616455e-07
14,1.0058283805847168e-07
15,1.0058283805847168e-07
16,8.195638656616211e-08
17,9.313225746154785e-08
18,1.043081283569336e-07
19,1.0244548320770264e-07
20,6.891787052154541e-08
21,1.0244548320770264e-07
22,1.0058283805847168e-07
23,9.313225746154785e-08
24,6.146728992462158e-08
25,8.009374141693115e-08
26,8.381903171539307e-08
27,8.754432201385498e-08
28,8.568167686462402e-08
29,8.195638656616211e-08
30,8.381903171539307e-08
31,8.940696716308594e-08
32,1.2479722499847412e-07
33,8.754432201385498e-08
34,8.754432201385498e-08
35,8.381903171539307e-08
36,6.51925802230835e-08
37,8.009374141693115e-08
38,9.872019290924072e-08
39,6.146728992462158e-08
40,7.636845111846924e-08
41,9.685754776000977e-08
42,8.940696716308594e-08
43,9.12696123123169e-08
44,1.0989606380462646e-07
45,8.754432201385498e-08
46,8.940696716308594e-08
47,9.685754776000977e-08
48,1.1548399925231934e-07
49,9.685754776000977e-08
50,8.381903171539307e-08
51,7.82310962677002e-08
52,8.754432201385498e-08
53,1.0244548320770264e-07
54,1.1920928955078125e-07
55,7.264316082000732e-08
56,8.009374141693115e-08
57,5.960464477539063e-08
58,7.078051567077637e-08
59,7.636845111846924e-08
60,9.685754776000977e-08
61,7.078051567077637e-08
62,9.313225746154785e-08
63,9.872019290924072e-08
64,8.940696716308594e-08
65,8.568167686462402e-08
66,6.705522537231445e-08
67,9.685754776000977e-08
68,7.264316082000732e-08
69,9.313225746154785e-08
70,9.499490261077881e-08
71,7.078051567077637e-08
72,8.009374141693115e-08
73,9.685754776000977e-08
74,8.754432201385498e-08
75,1.043081283569336e-07
76,7.078051567077637e-08
77,8.568167686462402e-08
78,5.587935447692871e-08
79,8.568167686462402e-08
80,1.043081283569336e-07
81,8.754432201385498e-08
82,9.872019290924072e-08
83,5.960464477539063e-08
84,5.587935447692871e-08
85,6.332993507385254e-08
86,8.195638656616211e-08
87,8.009374141693115e-08
88,8.195638656616211e-08
89,7.264316082000732e-08
90,7.450580596923828e-08
91,8.568167686462402e-08
92,8.381903171539307e-08
93,8.381903171539307e-08
94,8.102506399154663e-08
95,8.940696716308594e-08
96,1.1548399925231934e-07
97,8.381903171539307e-08
98,7.264316082000732e-08
99,9.685754776000977e-08
100,8.754432201385498e-08
101,9.313225746154785e-08
102,8.009374141693115e-08
103,1.1734664440155029e-07
104,1.1362135410308838e-07
105,8.381903171539307e-08
106,9.499490261077881e-08
107,1.210719347000122e-07
108,9.313225746154785e-08
109,8.754432201385498e-08
110,7.636845111846924e-08
111,9.499490261077881e-08
112,8.195638656616211e-08
113,8.754432201385498e-08
114,9.872019290924072e-08
115,8.940696716308594e-08
116,8.568167686462402e-08
117,9.313225746154785e-08
118,1.0989606380462646e-07
119,1.0989606380462646e-07
120,8.940696716308594e-08
121,6.891787052154541e-08
122,1.1920928955078125e-07
123,1.1362135410308838e-07
124,8.940696716308594e-08
125,8.568167686462402e-08
126,9.499490261077881e-08
127,7.450580596923828e-08
128,8.568167686462402e-08
129,7.450580596923828e-08
130,1.043081283569336e-07
131,1.043081283569336e-07
132,9.499490261077881e-08
133,9.872019290924072e-08
134,8.009374141693115e-08
135,8.940696716308594e-08
136,8.195638656616211e-08
137,8.381903171539307e-08
138,9.12696123123169e-08
139,1.0803341865539551e-07
140,1.0244548320770264e-07
141,9.499490261077881e-08
142,9.685754776000977e-08
143,8.754432201385498e-08
144,9.313225746154785e-08
145,8.940696716308594e-08
146,8.009374141693115e-08
147,7.82310962677002e-08
148,8.940696716308594e-08
149,8.009374141693115e-08
150,6.51925802230835e-08
151,1.1362135410308838e-07
152,8.195638656616211e-08
153,1.0803341865539551e-07
154,9.313225746154785e-08
155,8.195638656616211e-08
156,9.313225746154785e-08
157,5.774199962615967e-08
158,1.0244548320770264e-07
159,9.12696123123169e-08
160,8.195638656616211e-08
161,9.685754776000977e-08
162,8.754432201385498e-08
