,0
0,1.234002411365509e-08
1,2.514570951461792e-08
2,7.82310962677002e-08
3,7.916241884231567e-08
4,9.406358003616333e-08
5,7.264316082000732e-08
6,1.0058283805847168e-07
7,9.685754776000977e-08
8,9.499490261077881e-08
9,9.685754776000977e-08
10,9.499490261077881e-08
11,8.475035429000854e-08
12,1.0337680578231812e-07
13,1.0058283805847168e-07
14,9.499490261077881e-08
15,8.66129994392395e-08
16,7.82310962677002e-08
17,1.2665987014770508e-07
18,7.82310962677002e-08
19,8.940696716308594e-08
20,9.313225746154785e-08
21,6.705522537231445e-08
22,6.891787052154541e-08
23,8.940696716308594e-08
24,7.636845111846924e-08
25,9.685754776000977e-08
26,8.381903171539307e-08
27,9.872019290924072e-08
28,6.146728992462158e-08
29,9.872019290924072e-08
30,6.984919309616089e-08
31,8.009374141693115e-08
32,8.940696716308594e-08
33,1.1362135410308838e-07
34,9.592622518539429e-08
35,9.033828973770142e-08
36,8.195638656616211e-08
37,6.146728992462158e-08
38,8.195638656616211e-08
39,1.0058283805847168e-07
40,8.381903171539307e-08
41,7.82310962677002e-08
42,9.499490261077881e-08
43,8.568167686462402e-08
44,7.078051567077637e-08
45,7.264316082000732e-08
46,5.587935447692871e-08
47,8.195638656616211e-08
48,6.146728992462158e-08
49,8.009374141693115e-08
50,7.078051567077637e-08
51,6.705522537231445e-08
52,4.6566128730773926e-08
53,5.587935447692871e-08
54,6.705522537231445e-08
55,5.029141902923584e-08
56,5.21540641784668e-08
57,4.6566128730773926e-08
58,9.12696123123169e-08
59,4.470348358154297e-08
60,7.636845111846924e-08
61,6.891787052154541e-08
62,7.636845111846924e-08
63,5.029141902923584e-08
64,7.636845111846924e-08
65,5.029141902923584e-08
66,6.332993507385254e-08
67,3.166496753692627e-08
68,5.587935447692871e-08
69,5.587935447692871e-08
70,5.960464477539063e-08
71,5.960464477539063e-08
72,4.284083843231201e-08
73,4.842877388000488e-08
74,7.078051567077637e-08
75,5.960464477539063e-08
76,5.960464477539063e-08
77,7.078051567077637e-08
78,1.043081283569336e-07
79,7.636845111846924e-08
80,6.332993507385254e-08
81,4.842877388000488e-08
82,5.4016709327697754e-08
83,7.82310962677002e-08
84,7.636845111846924e-08
85,4.842877388000488e-08
86,6.51925802230835e-08
87,6.51925802230835e-08
88,7.264316082000732e-08
89,7.264316082000732e-08
90,7.450580596923828e-08
91,6.51925802230835e-08
92,6.705522537231445e-08
93,4.842877388000488e-08
94,6.51925802230835e-08
95,7.450580596923828e-08
96,6.891787052154541e-08
97,5.21540641784668e-08
98,3.725290298461914e-08
99,2.421438694000244e-08
100,6.51925802230835e-08
101,5.587935447692871e-08
102,6.332993507385254e-08
103,7.078051567077637e-08
104,6.332993507385254e-08
105,6.146728992462158e-08
106,7.636845111846924e-08
107,5.587935447692871e-08
108,2.9802322387695312e-08
109,6.891787052154541e-08
110,5.21540641784668e-08
111,4.470348358154297e-08
112,3.5390257835388184e-08
113,2.9802322387695312e-08
114,3.5390257835388184e-08
115,5.21540641784668e-08
116,6.146728992462158e-08
117,5.8673322200775146e-08
118,7.450580596923828e-08
119,6.146728992462158e-08
120,4.284083843231201e-08
121,2.2351741790771484e-08
122,4.470348358154297e-08
123,3.3527612686157227e-08
124,4.563480615615845e-08
125,4.284083843231201e-08
126,4.6566128730773926e-08
127,4.842877388000488e-08
128,3.5390257835388184e-08
129,5.4016709327697754e-08
130,5.21540641784668e-08
131,5.21540641784668e-08
132,3.91155481338501e-08
133,4.842877388000488e-08
134,6.705522537231445e-08
135,5.029141902923584e-08
136,5.960464477539063e-08
137,4.842877388000488e-08
138,3.3527612686157227e-08
139,4.6566128730773926e-08
140,4.842877388000488e-08
141,5.029141902923584e-08
142,3.166496753692627e-08
143,3.91155481338501e-08
144,3.259629011154175e-08
145,4.842877388000488e-08
146,5.960464477539063e-08
147,4.6566128730773926e-08
148,4.6566128730773926e-08
149,5.4016709327697754e-08
150,8.754432201385498e-08
151,3.725290298461914e-08
152,2.9802322387695312e-08
153,4.470348358154297e-08
154,4.6566128730773926e-08
155,6.332993507385254e-08
156,5.21540641784668e-08
157,7.450580596923828e-08
158,5.4016709327697754e-08
159,2.2351741790771484e-08
160,4.842877388000488e-08
161,5.960464477539063e-08
162,4.470348358154297e-08
163,3.91155481338501e-08
164,2.421438694000244e-08
165,2.7939677238464355e-08
166,4.6566128730773926e-08
167,5.774199962615967e-08
168,2.60770320892334e-08
169,5.4016709327697754e-08
170,6.891787052154541e-08
171,3.166496753692627e-08
172,3.725290298461914e-08
173,3.5390257835388184e-08
174,1.862645149230957e-08
175,3.91155481338501e-08
176,6.146728992462158e-08
177,3.5390257835388184e-08
178,5.21540641784668e-08
179,8.568167686462402e-08
180,4.284083843231201e-08
181,5.029141902923584e-08
182,3.818422555923462e-08
183,4.6566128730773926e-08
184,6.332993507385254e-08
185,9.12696123123169e-08
186,4.842877388000488e-08
187,5.960464477539063e-08
188,6.891787052154541e-08
189,6.705522537231445e-08
190,4.842877388000488e-08
191,2.2351741790771484e-08
192,3.91155481338501e-08
193,7.264316082000732e-08
194,4.284083843231201e-08
195,5.21540641784668e-08
196,3.91155481338501e-08
197,3.166496753692627e-08
198,4.470348358154297e-08
199,1.6763806343078613e-08
200,1.5832483768463135e-08
201,6.705522537231445e-08
202,7.264316082000732e-08
203,3.259629011154175e-08
204,2.60770320892334e-08
205,4.284083843231201e-08
206,3.91155481338501e-08
207,2.9802322387695312e-08
208,3.91155481338501e-08
209,6.705522537231445e-08
210,5.21540641784668e-08
211,4.284083843231201e-08
212,5.960464477539063e-08
213,6.332993507385254e-08
214,5.21540641784668e-08
215,4.842877388000488e-08
216,4.284083843231201e-08
217,4.470348358154297e-08
218,3.3527612686157227e-08
219,4.7497451305389404e-08
220,8.754432201385498e-08
221,5.029141902923584e-08
222,5.960464477539063e-08
223,7.636845111846924e-08
224,7.450580596923828e-08
225,5.587935447692871e-08
226,8.009374141693115e-08
227,9.685754776000977e-08
228,6.332993507385254e-08
229,3.725290298461914e-08
230,6.332993507385254e-08
231,1.30385160446167e-08
232,3.3527612686157227e-08
233,2.60770320892334e-08
234,3.3527612686157227e-08
235,3.91155481338501e-08
236,2.7939677238464355e-08
237,3.5390257835388184e-08
238,7.636845111846924e-08
239,7.171183824539185e-08
240,5.587935447692871e-08
241,5.029141902923584e-08
242,5.8673322200775146e-08
243,6.146728992462158e-08
244,4.6566128730773926e-08
245,5.21540641784668e-08
246,7.636845111846924e-08
247,4.470348358154297e-08
248,3.725290298461914e-08
249,4.190951585769653e-08
250,5.960464477539063e-08
251,5.587935447692871e-08
252,4.284083843231201e-08
253,5.774199962615967e-08
254,6.146728992462158e-08
255,3.3527612686157227e-08
256,5.681067705154419e-08
257,4.842877388000488e-08
258,4.842877388000488e-08
259,8.009374141693115e-08
260,4.0978193283081055e-08
261,4.470348358154297e-08
262,4.470348358154297e-08
263,5.21540641784668e-08
264,5.21540641784668e-08
265,5.4016709327697754e-08
266,4.284083843231201e-08
267,4.842877388000488e-08
268,5.774199962615967e-08
269,5.4016709327697754e-08
270,5.21540641784668e-08
271,4.842877388000488e-08
272,8.568167686462402e-08
273,8.568167686462402e-08
274,7.078051567077637e-08
275,4.842877388000488e-08
276,4.842877388000488e-08
277,5.774199962615967e-08
278,3.91155481338501e-08
279,5.21540641784668e-08
280,3.5390257835388184e-08
281,3.166496753692627e-08
282,2.0489096641540527e-08
283,3.3527612686157227e-08
284,3.166496753692627e-08
285,4.284083843231201e-08
286,3.3527612686157227e-08
287,3.5390257835388184e-08
288,5.21540641784668e-08
289,1.862645149230957e-08
290,2.0489096641540527e-08
291,3.91155481338501e-08
292,3.3527612686157227e-08
293,3.166496753692627e-08
294,3.3527612686157227e-08
295,6.705522537231445e-08
296,4.6566128730773926e-08
297,3.91155481338501e-08
298,9.12696123123169e-08
299,3.166496753692627e-08
300,4.0978193283081055e-08
301,2.2351741790771484e-08
302,2.421438694000244e-08
303,1.862645149230957e-08
304,1.862645149230957e-08
305,2.421438694000244e-08
306,2.421438694000244e-08
307,5.587935447692871e-09
308,1.6763806343078613e-08
309,5.587935447692871e-09
310,2.60770320892334e-08
311,4.842877388000488e-08
312,2.2351741790771484e-08
313,2.60770320892334e-08
314,2.7939677238464355e-08
315,4.0978193283081055e-08
316,2.9802322387695312e-08
317,3.91155481338501e-08
318,3.91155481338501e-08
319,5.960464477539063e-08
320,6.891787052154541e-08
321,4.0978193283081055e-08
322,3.725290298461914e-08
323,7.450580596923828e-09
324,1.4901161193847656e-08
325,2.60770320892334e-08
326,3.91155481338501e-08
327,1.1175870895385742e-08
328,3.166496753692627e-08
329,3.725290298461914e-09
330,3.166496753692627e-08
331,1.1175870895385742e-08
332,3.5390257835388184e-08
333,2.9802322387695312e-08
334,1.1175870895385742e-08
335,2.60770320892334e-08
336,4.284083843231201e-08
337,1.1175870895385742e-08
338,1.862645149230957e-08
339,2.421438694000244e-08
340,2.60770320892334e-08
341,5.21540641784668e-08
342,3.166496753692627e-08
343,2.60770320892334e-08
344,3.725290298461914e-08
345,2.0489096641540527e-08
346,4.842877388000488e-08
347,3.91155481338501e-08
348,3.166496753692627e-08
349,3.725290298461914e-08
350,2.421438694000244e-08
351,4.470348358154297e-08
352,3.91155481338501e-08
353,3.3527612686157227e-08
354,7.450580596923828e-09
355,5.774199962615967e-08
356,2.0489096641540527e-08
357,1.30385160446167e-08
358,2.60770320892334e-08
359,3.91155481338501e-08
360,3.725290298461914e-08
361,5.029141902923584e-08
362,4.284083843231201e-08
363,6.146728992462158e-08
364,7.450580596923828e-09
365,4.6566128730773926e-08
366,2.60770320892334e-08
367,2.7939677238464355e-08
368,3.818422555923462e-08
369,2.9802322387695312e-08
370,2.2351741790771484e-08
371,5.029141902923584e-08
372,3.725290298461914e-08
373,4.0978193283081055e-08
374,2.4995495451207717e-08
