,0
0,1.0943040251731873e-08
1,1.3504177331924438e-08
2,2.468004822731018e-08
3,3.3527612686157227e-08
4,4.0512531995773315e-08
5,4.284083843231201e-08
6,4.842877388000488e-08
7,5.21540641784668e-08
8,5.21540641784668e-08
9,4.190951585769653e-08
10,5.587935447692871e-08
11,4.470348358154297e-08
12,5.3085386753082275e-08
13,4.0046870708465576e-08
14,3.166496753692627e-08
15,5.21540641784668e-08
16,5.494803190231323e-08
17,3.818422555923462e-08
18,4.7497451305389404e-08
19,6.705522537231445e-08
20,6.612390279769897e-08
21,5.774199962615967e-08
22,6.332993507385254e-08
23,5.587935447692871e-08
24,5.960464477539063e-08
25,4.7497451305389404e-08
26,6.984919309616089e-08
27,4.0978193283081055e-08
28,5.122274160385132e-08
29,5.587935447692871e-08
30,4.190951585769653e-08
31,5.587935447692871e-08
32,4.6566128730773926e-08
33,4.0046870708465576e-08
34,3.91155481338501e-08
35,5.960464477539063e-08
36,4.470348358154297e-08
37,3.5390257835388184e-08
38,5.21540641784668e-08
39,6.332993507385254e-08
40,4.284083843231201e-08
41,5.494803190231323e-08
42,4.284083843231201e-08
43,4.6566128730773926e-08
44,5.960464477539063e-08
45,6.612390279769897e-08
46,5.21540641784668e-08
47,4.936009645462036e-08
48,5.681067705154419e-08
49,4.284083843231201e-08
50,5.960464477539063e-08
51,4.842877388000488e-08
52,6.146728992462158e-08
53,4.563480615615845e-08
54,5.122274160385132e-08
55,5.4016709327697754e-08
56,5.494803190231323e-08
57,5.4016709327697754e-08
58,4.842877388000488e-08
59,6.332993507385254e-08
60,4.842877388000488e-08
61,5.029141902923584e-08
62,8.009374141693115e-08
63,3.725290298461914e-08
64,6.705522537231445e-08
65,5.21540641784668e-08
66,3.91155481338501e-08
67,5.774199962615967e-08
68,3.5390257835388184e-08
69,6.239861249923706e-08
70,5.3085386753082275e-08
71,8.568167686462402e-08
72,3.725290298461914e-08
73,6.146728992462158e-08
74,5.4016709327697754e-08
75,4.470348358154297e-08
76,5.960464477539063e-08
77,5.029141902923584e-08
78,5.8673322200775146e-08
79,6.51925802230835e-08
80,4.563480615615845e-08
81,4.470348358154297e-08
82,4.284083843231201e-08
83,5.8673322200775146e-08
84,7.450580596923828e-08
85,6.146728992462158e-08
86,4.470348358154297e-08
87,5.21540641784668e-08
88,5.774199962615967e-08
89,5.4016709327697754e-08
90,5.587935447692871e-08
91,5.21540641784668e-08
92,6.891787052154541e-08
93,4.470348358154297e-08
94,5.21540641784668e-08
95,5.774199962615967e-08
96,6.51925802230835e-08
97,7.078051567077637e-08
98,4.6566128730773926e-08
99,6.51925802230835e-08
100,4.842877388000488e-08
101,4.6566128730773926e-08
102,5.029141902923584e-08
103,7.264316082000732e-08
104,6.426125764846802e-08
105,5.494803190231323e-08
106,4.936009645462036e-08
107,5.774199962615967e-08
108,5.587935447692871e-08
109,5.774199962615967e-08
110,5.4016709327697754e-08
111,5.4016709327697754e-08
112,4.377216100692749e-08
113,5.960464477539063e-08
114,5.4016709327697754e-08
115,5.21540641784668e-08
116,6.984919309616089e-08
117,6.332993507385254e-08
118,5.4016709327697754e-08
119,6.146728992462158e-08
120,6.332993507385254e-08
121,5.960464477539063e-08
122,5.4016709327697754e-08
123,6.51925802230835e-08
124,7.450580596923828e-08
125,6.705522537231445e-08
126,6.891787052154541e-08
127,4.7497451305389404e-08
128,5.587935447692871e-08
129,5.960464477539063e-08
130,5.122274160385132e-08
131,5.587935447692871e-08
132,5.960464477539063e-08
133,6.146728992462158e-08
134,7.450580596923828e-08
135,5.960464477539063e-08
136,6.705522537231445e-08
137,7.264316082000732e-08
138,5.774199962615967e-08
139,7.078051567077637e-08
140,5.21540641784668e-08
141,7.078051567077637e-08
142,7.078051567077637e-08
143,5.029141902923584e-08
144,5.774199962615967e-08
145,6.51925802230835e-08
146,5.587935447692871e-08
147,5.774199962615967e-08
148,7.543712854385376e-08
149,5.21540641784668e-08
150,5.681067705154419e-08
151,5.587935447692871e-08
152,5.8673322200775146e-08
153,6.891787052154541e-08
154,5.960464477539063e-08
155,4.936009645462036e-08
156,6.332993507385254e-08
157,6.426125764846802e-08
158,6.146728992462158e-08
159,7.916241884231567e-08
160,3.91155481338501e-08
161,7.078051567077637e-08
162,7.078051567077637e-08
163,7.264316082000732e-08
164,6.332993507385254e-08
165,6.146728992462158e-08
166,7.916241884231567e-08
167,7.264316082000732e-08
168,4.936009645462036e-08
169,9.96515154838562e-08
170,7.636845111846924e-08
171,5.029141902923584e-08
172,5.029141902923584e-08
173,7.82310962677002e-08
174,6.426125764846802e-08
175,6.332993507385254e-08
176,8.568167686462402e-08
177,7.916241884231567e-08
178,5.774199962615967e-08
179,6.332993507385254e-08
180,6.332993507385254e-08
181,6.891787052154541e-08
182,7.078051567077637e-08
183,6.332993507385254e-08
184,7.450580596923828e-08
185,5.960464477539063e-08
186,6.426125764846802e-08
187,6.705522537231445e-08
188,1.909211277961731e-08
189,1.257285475730896e-08
190,1.257285475730896e-08
191,3.026798367500305e-08
192,4.563480615615845e-08
193,4.936009645462036e-08
194,4.470348358154297e-08
195,4.377216100692749e-08
196,5.029141902923584e-08
197,6.146728992462158e-08
198,4.563480615615845e-08
199,4.470348358154297e-08
200,5.4016709327697754e-08
201,5.029141902923584e-08
202,5.4016709327697754e-08
203,4.936009645462036e-08
204,5.122274160385132e-08
205,6.705522537231445e-08
206,5.3085386753082275e-08
207,5.960464477539063e-08
208,5.3085386753082275e-08
209,5.774199962615967e-08
210,5.774199962615967e-08
211,5.21540641784668e-08
212,4.936009645462036e-08
213,5.4016709327697754e-08
214,5.8673322200775146e-08
215,5.587935447692871e-08
216,4.284083843231201e-08
217,6.705522537231445e-08
218,4.842877388000488e-08
219,5.029141902923584e-08
220,5.4016709327697754e-08
221,4.7497451305389404e-08
222,4.6566128730773926e-08
223,5.3085386753082275e-08
224,6.984919309616089e-08
225,5.494803190231323e-08
226,7.450580596923828e-08
227,5.774199962615967e-08
228,4.7497451305389404e-08
229,4.6566128730773926e-08
230,5.774199962615967e-08
231,5.122274160385132e-08
232,4.936009645462036e-08
233,5.774199962615967e-08
234,4.6566128730773926e-08
235,5.681067705154419e-08
236,4.284083843231201e-08
237,5.587935447692871e-08
238,4.7497451305389404e-08
239,7.078051567077637e-08
240,6.332993507385254e-08
241,5.21540641784668e-08
242,5.587935447692871e-08
243,3.5390257835388184e-08
244,5.3085386753082275e-08
245,4.842877388000488e-08
246,5.4016709327697754e-08
247,6.332993507385254e-08
248,6.332993507385254e-08
249,5.960464477539063e-08
250,4.7497451305389404e-08
251,5.21540641784668e-08
252,4.377216100692749e-08
253,5.774199962615967e-08
254,5.4016709327697754e-08
255,4.377216100692749e-08
256,4.842877388000488e-08
257,5.21540641784668e-08
258,4.6566128730773926e-08
259,5.774199962615967e-08
260,4.842877388000488e-08
261,4.470348358154297e-08
262,5.029141902923584e-08
263,5.587935447692871e-08
264,4.284083843231201e-08
265,5.21540641784668e-08
266,5.494803190231323e-08
267,5.122274160385132e-08
268,5.029141902923584e-08
269,4.284083843231201e-08
270,5.774199962615967e-08
271,4.284083843231201e-08
272,5.3085386753082275e-08
273,5.587935447692871e-08
274,5.4016709327697754e-08
275,3.91155481338501e-08
276,6.705522537231445e-08
277,4.842877388000488e-08
278,5.681067705154419e-08
279,5.774199962615967e-08
280,6.146728992462158e-08
281,5.029141902923584e-08
282,5.587935447692871e-08
283,5.587935447692871e-08
284,5.4016709327697754e-08
285,5.4016709327697754e-08
286,4.842877388000488e-08
287,7.264316082000732e-08
288,5.494803190231323e-08
289,7.078051567077637e-08
290,4.842877388000488e-08
291,5.960464477539063e-08
292,5.960464477539063e-08
293,5.587935447692871e-08
294,5.029141902923584e-08
295,6.146728992462158e-08
296,4.842877388000488e-08
297,5.960464477539063e-08
298,3.725290298461914e-08
299,5.681067705154419e-08
300,5.21540641784668e-08
301,6.332993507385254e-08
302,5.4016709327697754e-08
303,5.960464477539063e-08
304,7.264316082000732e-08
305,4.6566128730773926e-08
306,7.264316082000732e-08
307,4.470348358154297e-08
308,5.4016709327697754e-08
309,5.21540641784668e-08
310,5.960464477539063e-08
311,5.21540641784668e-08
312,5.21540641784668e-08
313,5.587935447692871e-08
314,5.4016709327697754e-08
315,6.332993507385254e-08
316,5.774199962615967e-08
317,4.842877388000488e-08
318,5.21540641784668e-08
319,5.4016709327697754e-08
320,5.3085386753082275e-08
321,5.4016709327697754e-08
322,7.450580596923828e-08
323,5.774199962615967e-08
324,5.3085386753082275e-08
325,5.681067705154419e-08
326,5.587935447692871e-08
327,4.842877388000488e-08
328,5.029141902923584e-08
329,4.6566128730773926e-08
330,6.332993507385254e-08
331,5.4016709327697754e-08
332,6.891787052154541e-08
333,5.8673322200775146e-08
334,6.51925802230835e-08
335,6.146728992462158e-08
336,5.21540641784668e-08
337,5.960464477539063e-08
338,6.146728992462158e-08
339,3.91155481338501e-08
340,5.587935447692871e-08
341,5.21540641784668e-08
342,6.612390279769897e-08
343,5.21540641784668e-08
344,4.470348358154297e-08
345,5.960464477539063e-08
346,5.029141902923584e-08
347,6.705522537231445e-08
348,6.51925802230835e-08
349,5.587935447692871e-08
350,7.078051567077637e-08
351,5.029141902923584e-08
352,6.891787052154541e-08
353,6.705522537231445e-08
354,5.494803190231323e-08
355,5.494803190231323e-08
356,7.543712854385376e-08
357,4.6566128730773926e-08
358,5.960464477539063e-08
359,5.960464477539063e-08
360,5.960464477539063e-08
361,5.21540641784668e-08
362,4.936009645462036e-08
363,5.21540641784668e-08
364,4.470348358154297e-08
365,5.587935447692871e-08
366,6.146728992462158e-08
367,6.332993507385254e-08
368,6.705522537231445e-08
369,5.774199962615967e-08
370,6.891787052154541e-08
371,5.774199962615967e-08
372,5.774199962615967e-08
373,5.21540641784668e-08
374,4.422280142080126e-08
