,0
0,0.0
1,0.4375
2,0.46875
3,0.4375
4,0.375
5,0.625
6,0.40625
7,0.46875
8,0.6875
9,0.5
10,0.46875
11,0.71875
12,0.6875
13,0.5
14,0.75
15,0.625
16,0.65625
17,0.59375
18,0.53125
19,0.6875
20,0.625
21,0.5625
22,0.59375
23,0.4375
24,0.53125
25,0.59375
26,0.65625
27,0.6875
28,0.625
29,0.625
30,0.65625
31,0.6875
32,0.59375
33,0.5
34,0.71875
35,0.5625
36,0.78125
37,0.78125
38,0.71875
39,0.5
40,0.6875
41,0.71875
42,0.8125
43,0.75
44,0.4375
45,0.78125
46,0.6875
47,0.71875
48,0.6875
49,0.5
50,0.625
51,0.46875
52,0.75
53,0.59375
54,0.59375
55,0.71875
56,0.65625
57,0.65625
58,0.53125
59,0.65625
60,0.65625
61,0.6875
62,0.65625
63,0.46875
64,0.71875
65,0.625
66,0.625
67,0.6875
68,0.65625
69,0.65625
70,0.625
71,0.59375
72,0.46875
73,0.53125
74,0.625
75,0.5
76,0.6875
77,0.6875
78,0.59375
79,0.6875
80,0.59375
81,0.5625
82,0.71875
83,0.71875
84,0.71875
85,0.75
86,0.5625
87,0.59375
88,0.78125
89,0.71875
90,0.59375
91,0.65625
92,0.65625
93,0.5
94,0.0
95,0.0
96,0.5625
97,0.5
98,0.53125
99,0.5
100,0.875
101,0.46875
102,0.5625
103,0.625
104,0.53125
105,0.59375
106,0.75
107,0.65625
108,0.625
109,0.5625
110,0.78125
111,0.375
112,0.65625
113,0.53125
114,0.625
115,0.5625
116,0.5
117,0.6875
118,0.625
119,0.6875
120,0.59375
121,0.6875
122,0.65625
123,0.6875
124,0.65625
125,0.53125
126,0.65625
127,0.5
128,0.625
129,0.59375
130,0.625
131,0.40625
132,0.5625
133,0.5
134,0.625
135,0.4375
136,0.875
137,0.59375
138,0.75
139,0.75
140,0.4375
141,0.71875
142,0.625
143,0.8125
144,0.59375
145,0.8125
146,0.5625
147,0.6875
148,0.59375
149,0.78125
150,0.53125
151,0.625
152,0.71875
153,0.625
154,0.4375
155,0.65625
156,0.59375
157,0.625
158,0.46875
159,0.625
160,0.65625
161,0.65625
162,0.78125
163,0.78125
164,0.53125
165,0.625
166,0.53125
167,0.71875
168,0.53125
169,0.71875
170,0.71875
171,0.78125
172,0.6875
173,0.5
174,0.5
175,0.59375
176,0.59375
177,0.71875
178,0.65625
179,0.78125
180,0.65625
181,0.78125
182,0.75
183,0.71875
184,0.78125
185,0.6875
186,0.625
187,0.25
188,0.0
189,0.65625
190,0.78125
191,0.75
192,0.6875
193,0.6875
194,0.65625
195,0.65625
196,0.65625
197,0.84375
198,0.59375
199,0.78125
200,0.78125
201,0.625
202,0.6875
203,0.71875
204,0.65625
205,0.84375
206,0.53125
207,0.75
208,0.6875
209,0.5
210,0.75
211,0.75
212,0.71875
213,0.625
214,0.625
215,0.6875
216,0.6875
217,0.625
218,0.75
219,0.71875
220,0.65625
221,0.6875
222,0.71875
223,0.6875
224,0.59375
225,0.84375
226,0.78125
227,0.59375
228,0.78125
229,0.65625
230,0.625
231,0.71875
232,0.84375
233,0.8125
234,0.65625
235,0.5625
236,0.75
237,0.875
238,0.53125
239,0.84375
240,0.625
241,0.875
242,0.78125
243,0.78125
244,0.875
245,0.78125
246,0.71875
247,0.71875
248,0.6875
249,0.65625
250,0.71875
251,0.8125
252,0.78125
253,0.625
254,0.78125
255,0.625
256,0.8125
257,0.78125
258,0.5625
259,0.78125
260,0.9375
261,0.65625
262,0.78125
263,0.75
264,0.875
265,0.625
266,0.875
267,0.84375
268,0.71875
269,0.71875
270,0.78125
271,0.9375
272,0.84375
273,0.8125
274,0.90625
275,0.8125
276,0.8125
277,0.75
278,0.96875
279,0.84375
280,0.90625
