,0
0,1.1408701539039612e-08
1,1.7695128917694092e-08
2,2.6542693376541138e-08
3,3.725290298461914e-08
4,5.21540641784668e-08
5,5.3085386753082275e-08
6,4.0978193283081055e-08
7,4.284083843231201e-08
8,4.563480615615845e-08
9,4.842877388000488e-08
10,5.029141902923584e-08
11,5.494803190231323e-08
12,4.6566128730773926e-08
13,4.377216100692749e-08
14,3.725290298461914e-08
15,5.21540641784668e-08
16,3.91155481338501e-08
17,4.284083843231201e-08
18,6.332993507385254e-08
19,5.3085386753082275e-08
20,5.21540641784668e-08
21,4.190951585769653e-08
22,4.563480615615845e-08
23,5.3085386753082275e-08
24,4.7497451305389404e-08
25,5.029141902923584e-08
26,5.3085386753082275e-08
27,5.122274160385132e-08
28,5.681067705154419e-08
29,4.6566128730773926e-08
30,6.05359673500061e-08
31,4.842877388000488e-08
32,6.146728992462158e-08
33,4.563480615615845e-08
34,4.0046870708465576e-08
35,4.936009645462036e-08
36,6.426125764846802e-08
37,4.7497451305389404e-08
38,5.960464477539063e-08
39,5.960464477539063e-08
40,3.5390257835388184e-08
41,4.0978193283081055e-08
42,4.6566128730773926e-08
43,7.264316082000732e-08
44,5.774199962615967e-08
45,6.51925802230835e-08
46,5.494803190231323e-08
47,5.21540641784668e-08
48,5.3085386753082275e-08
49,6.51925802230835e-08
50,6.146728992462158e-08
51,3.5390257835388184e-08
52,6.146728992462158e-08
53,4.842877388000488e-08
54,4.377216100692749e-08
55,4.6566128730773926e-08
56,7.078051567077637e-08
57,6.51925802230835e-08
58,6.891787052154541e-08
59,5.587935447692871e-08
60,5.587935447692871e-08
61,5.587935447692871e-08
62,3.91155481338501e-08
63,5.029141902923584e-08
64,5.960464477539063e-08
65,4.6566128730773926e-08
66,5.8673322200775146e-08
67,6.51925802230835e-08
68,4.0978193283081055e-08
69,5.587935447692871e-08
70,5.587935447692871e-08
71,6.51925802230835e-08
72,5.21540641784668e-08
73,4.842877388000488e-08
74,5.21540641784668e-08
75,7.636845111846924e-08
76,6.984919309616089e-08
77,3.91155481338501e-08
78,5.4016709327697754e-08
79,4.936009645462036e-08
80,6.146728992462158e-08
81,5.21540641784668e-08
82,5.774199962615967e-08
83,5.21540641784668e-08
84,5.4016709327697754e-08
85,5.960464477539063e-08
86,5.960464477539063e-08
87,6.146728992462158e-08
88,5.4016709327697754e-08
89,6.332993507385254e-08
90,6.332993507385254e-08
91,6.332993507385254e-08
92,5.774199962615967e-08
93,5.029141902923584e-08
94,3.818422555923462e-08
95,1.3969838619232178e-08
96,1.1175870895385742e-08
97,1.955777406692505e-08
98,2.7474015951156616e-08
99,2.8870999813079834e-08
100,3.91155481338501e-08
101,4.6566128730773926e-08
102,5.681067705154419e-08
103,4.936009645462036e-08
104,4.377216100692749e-08
105,6.146728992462158e-08
106,5.029141902923584e-08
107,4.7497451305389404e-08
108,4.842877388000488e-08
109,5.21540641784668e-08
110,4.842877388000488e-08
111,4.842877388000488e-08
112,4.6566128730773926e-08
113,4.842877388000488e-08
114,5.029141902923584e-08
115,4.936009645462036e-08
116,4.0978193283081055e-08
117,4.190951585769653e-08
118,4.7497451305389404e-08
119,4.284083843231201e-08
120,5.8673322200775146e-08
121,5.122274160385132e-08
122,4.470348358154297e-08
123,4.0978193283081055e-08
124,5.774199962615967e-08
125,5.960464477539063e-08
126,6.146728992462158e-08
127,5.122274160385132e-08
128,5.960464477539063e-08
129,3.91155481338501e-08
130,5.8673322200775146e-08
131,4.563480615615845e-08
132,5.122274160385132e-08
133,4.0978193283081055e-08
134,4.842877388000488e-08
135,5.21540641784668e-08
136,5.494803190231323e-08
137,5.21540641784668e-08
138,6.426125764846802e-08
139,4.936009645462036e-08
140,6.705522537231445e-08
141,5.21540641784668e-08
142,4.470348358154297e-08
143,4.936009645462036e-08
144,7.078051567077637e-08
145,5.21540641784668e-08
146,6.51925802230835e-08
147,4.842877388000488e-08
148,4.284083843231201e-08
149,4.842877388000488e-08
150,4.936009645462036e-08
151,5.21540641784668e-08
152,5.681067705154419e-08
153,5.122274160385132e-08
154,6.51925802230835e-08
155,5.681067705154419e-08
156,5.774199962615967e-08
157,4.284083843231201e-08
158,5.587935447692871e-08
159,5.4016709327697754e-08
160,5.4016709327697754e-08
161,6.891787052154541e-08
162,5.21540641784668e-08
163,5.8673322200775146e-08
164,5.774199962615967e-08
165,6.239861249923706e-08
166,4.842877388000488e-08
167,5.122274160385132e-08
168,6.146728992462158e-08
169,4.936009645462036e-08
170,5.494803190231323e-08
171,6.146728992462158e-08
172,5.960464477539063e-08
173,5.960464477539063e-08
174,5.587935447692871e-08
175,5.21540641784668e-08
176,5.774199962615967e-08
177,5.960464477539063e-08
178,5.4016709327697754e-08
179,5.587935447692871e-08
180,6.426125764846802e-08
181,4.0978193283081055e-08
182,5.8673322200775146e-08
183,5.21540641784668e-08
184,6.332993507385254e-08
185,6.146728992462158e-08
186,7.450580596923828e-08
187,5.774199962615967e-08
188,2.60770320892334e-08
189,2.1420419216156006e-08
190,3.3527612686157227e-08
191,4.470348358154297e-08
192,4.0978193283081055e-08
193,5.587935447692871e-08
194,6.984919309616089e-08
195,4.6566128730773926e-08
196,5.029141902923584e-08
197,3.91155481338501e-08
198,5.3085386753082275e-08
199,4.190951585769653e-08
200,4.936009645462036e-08
201,5.8673322200775146e-08
202,4.284083843231201e-08
203,4.842877388000488e-08
204,5.774199962615967e-08
205,5.122274160385132e-08
206,5.122274160385132e-08
207,5.774199962615967e-08
208,5.21540641784668e-08
209,3.725290298461914e-08
210,5.681067705154419e-08
211,5.681067705154419e-08
212,5.587935447692871e-08
213,4.936009645462036e-08
214,5.681067705154419e-08
215,5.8673322200775146e-08
216,3.725290298461914e-08
217,5.681067705154419e-08
218,5.8673322200775146e-08
219,5.3085386753082275e-08
220,5.587935447692871e-08
221,5.3085386753082275e-08
222,6.984919309616089e-08
223,5.4016709327697754e-08
224,7.264316082000732e-08
225,5.494803190231323e-08
226,5.960464477539063e-08
227,6.891787052154541e-08
228,5.587935447692871e-08
229,5.960464477539063e-08
230,5.4016709327697754e-08
231,7.078051567077637e-08
232,5.494803190231323e-08
233,5.774199962615967e-08
234,6.705522537231445e-08
235,6.51925802230835e-08
236,4.284083843231201e-08
237,4.470348358154297e-08
238,7.171183824539185e-08
239,7.078051567077637e-08
240,5.4016709327697754e-08
241,5.587935447692871e-08
242,5.029141902923584e-08
243,5.21540641784668e-08
244,5.960464477539063e-08
245,7.078051567077637e-08
246,6.705522537231445e-08
247,6.705522537231445e-08
248,6.146728992462158e-08
249,4.0978193283081055e-08
250,6.146728992462158e-08
251,5.21540641784668e-08
252,6.984919309616089e-08
253,5.21540641784668e-08
254,8.475035429000854e-08
255,5.774199962615967e-08
256,5.960464477539063e-08
257,6.705522537231445e-08
258,6.146728992462158e-08
259,7.078051567077637e-08
260,9.12696123123169e-08
261,5.960464477539063e-08
262,8.195638656616211e-08
263,4.936009645462036e-08
264,7.450580596923828e-08
265,8.195638656616211e-08
266,6.51925802230835e-08
267,6.705522537231445e-08
268,7.078051567077637e-08
269,6.798654794692993e-08
270,6.891787052154541e-08
271,7.82310962677002e-08
272,4.842877388000488e-08
273,8.754432201385498e-08
274,6.332993507385254e-08
275,7.450580596923828e-08
276,7.450580596923828e-08
277,5.774199962615967e-08
278,5.8673322200775146e-08
279,7.450580596923828e-08
280,7.636845111846924e-08
