,0
0,0.125
1,0.03125
2,0.125
3,0.15625
4,0.03125
5,0.0625
6,0.1875
7,0.21875
8,0.09375
9,0.1875
10,0.0625
11,0.15625
12,0.3125
13,0.125
14,0.3125
15,0.21875
16,0.25
17,0.125
18,0.1875
19,0.25
20,0.21875
21,0.21875
22,0.25
23,0.09375
24,0.3125
25,0.28125
26,0.15625
27,0.25
28,0.375
29,0.375
30,0.28125
31,0.28125
32,0.21875
33,0.15625
34,0.21875
35,0.21875
36,0.21875
37,0.21875
38,0.125
39,0.03125
40,0.125
41,0.25
42,0.09375
43,0.1875
44,0.1875
45,0.1875
46,0.3125
47,0.28125
48,0.21875
49,0.40625
50,0.4375
51,0.625
52,0.5
53,0.53125
54,0.53125
55,0.3125
56,0.40625
57,0.5
58,0.4375
59,0.5
60,0.53125
61,0.5
62,0.3125
63,0.375
64,0.4375
65,0.6875
66,0.46875
67,0.59375
68,0.5625
69,0.59375
70,0.4375
71,0.4375
72,0.5625
73,0.59375
74,0.46875
75,0.5
76,0.625
77,0.34375
78,0.5
79,0.625
80,0.6875
81,0.59375
82,0.4375
83,0.40625
84,0.5
85,0.65625
86,0.625
87,0.5625
88,0.625
89,0.75
90,0.59375
91,0.6875
92,0.59375
93,0.71875
94,0.53125
95,0.4375
96,0.75
97,0.6875
98,0.53125
99,0.5
100,0.65625
101,0.71875
102,0.5625
103,0.5625
104,0.59375
105,0.5625
106,0.5625
107,0.65625
108,0.625
109,0.59375
110,0.375
111,0.625
112,0.8125
113,0.5625
114,0.6875
115,0.5625
116,0.90625
117,0.65625
118,0.78125
119,0.53125
120,0.6875
121,0.875
122,0.625
123,0.75
124,0.53125
125,0.6875
126,0.65625
127,0.6875
128,0.875
129,0.5625
130,0.65625
131,0.84375
132,0.8125
133,0.65625
134,0.65625
135,0.75
136,0.625
137,0.71875
138,0.84375
139,0.65625
140,0.75
141,0.75
142,0.90625
143,0.71875
144,0.8125
145,0.71875
146,0.78125
147,0.65625
148,0.6875
149,0.8125
150,0.65625
151,0.65625
152,0.875
153,0.78125
154,0.75
155,0.78125
156,0.9375
157,0.65625
158,0.65625
159,0.875
160,0.71875
161,0.6875
162,0.8125
163,0.71875
164,0.875
165,0.71875
166,0.75
167,0.75
168,0.75
169,0.84375
170,0.78125
171,0.90625
172,0.8125
173,0.78125
174,0.84375
175,0.75
176,0.9375
177,0.8125
178,0.75
179,0.9375
180,0.90625
181,0.78125
182,0.75
183,0.875
184,0.8125
185,0.8125
186,0.8125
187,0.78125
188,0.75
189,0.8125
190,0.625
191,0.90625
192,0.75
193,0.65625
194,0.78125
195,0.71875
196,0.75
197,0.71875
198,0.625
199,0.90625
200,0.65625
201,0.78125
202,0.75
203,0.75
204,0.75
205,0.8125
206,0.78125
207,0.75
208,0.75
209,0.78125
210,0.84375
211,0.84375
212,0.71875
213,0.4375
214,0.84375
215,0.71875
216,0.6875
217,0.75
218,0.625
219,0.6875
220,0.75
221,0.875
222,0.875
223,0.71875
224,0.8125
225,0.625
226,0.6875
227,0.59375
228,0.78125
229,0.75
230,0.6875
231,0.78125
232,0.6875
233,0.71875
234,0.78125
235,0.6875
236,0.84375
237,0.84375
238,0.6875
239,0.78125
240,0.78125
241,0.65625
242,0.6875
243,0.8125
244,0.78125
245,0.75
246,0.8125
247,0.78125
248,0.90625
249,0.78125
250,0.78125
251,0.78125
252,0.90625
253,0.71875
254,0.84375
255,0.875
256,0.71875
257,0.75
258,0.84375
259,0.6875
260,0.78125
261,0.875
262,0.8125
263,0.65625
264,0.84375
265,0.875
266,0.8125
267,0.875
268,0.71875
269,0.71875
270,0.8125
271,0.6875
272,0.65625
273,0.78125
274,0.78125
275,1.0
276,0.75
277,0.75
278,0.75
279,0.90625
280,0.8125
281,0.8125
282,0.9375
283,0.90625
284,0.875
285,0.75
286,0.875
287,0.875
288,0.875
289,0.90625
290,0.875
291,0.84375
292,0.75
293,0.875
294,0.875
295,0.8125
296,0.84375
297,0.84375
298,0.78125
299,0.90625
300,0.90625
301,0.90625
302,0.875
303,0.96875
304,0.90625
305,0.84375
306,0.875
307,1.0
308,0.875
309,1.0
310,0.90625
311,0.84375
312,0.96875
313,0.8125
314,0.875
315,0.90625
316,0.9375
317,0.84375
318,0.875
319,0.78125
320,0.8125
321,0.78125
322,0.90625
323,0.96875
324,1.0
325,0.96875
326,0.875
327,1.0
328,0.9375
329,0.9375
330,0.90625
331,0.875
332,0.90625
333,0.9375
334,0.90625
335,0.875
336,0.875
337,0.90625
338,0.96875
339,0.9375
340,0.9375
341,0.9375
342,1.0
343,0.9375
344,0.9375
345,0.96875
346,0.875
347,0.90625
348,0.875
349,0.90625
350,0.875
351,0.90625
352,0.875
353,0.9375
354,1.0
355,0.90625
356,0.90625
357,0.9375
358,0.90625
359,0.90625
360,0.90625
361,0.8125
362,0.84375
363,0.90625
364,1.0
365,0.875
366,0.84375
367,0.90625
368,0.90625
369,0.90625
370,0.875
371,0.96875
372,1.0
373,0.875
374,0.967741935483871
