,0
0,9.778887033462524e-09
1,1.0244548320770264e-08
2,1.1408701539039612e-08
3,9.080395102500916e-09
4,1.1408701539039612e-08
5,1.234002411365509e-08
6,1.30385160446167e-08
7,1.0710209608078003e-08
8,1.5366822481155396e-08
9,1.257285475730896e-08
10,1.0710209608078003e-08
11,1.0244548320770264e-08
12,7.916241884231567e-09
13,1.280568540096283e-08
14,1.234002411365509e-08
15,1.0244548320770264e-08
16,1.0943040251731873e-08
17,1.1874362826347351e-08
18,1.1408701539039612e-08
19,9.546056389808655e-09
20,1.280568540096283e-08
21,1.280568540096283e-08
22,1.1175870895385742e-08
23,1.1641532182693481e-08
24,1.1641532182693481e-08
25,1.210719347000122e-08
26,1.257285475730896e-08
27,1.0943040251731873e-08
28,1.234002411365509e-08
29,1.234002411365509e-08
30,1.3737007975578308e-08
31,1.0477378964424133e-08
32,1.0710209608078003e-08
33,1.5366822481155396e-08
34,1.210719347000122e-08
35,1.0244548320770264e-08
36,1.1874362826347351e-08
37,1.4668330550193787e-08
38,1.280568540096283e-08
39,1.257285475730896e-08
40,1.0011717677116394e-08
41,1.3271346688270569e-08
42,1.3504177331924438e-08
43,1.1874362826347351e-08
44,1.210719347000122e-08
45,1.1874362826347351e-08
46,1.30385160446167e-08
47,1.234002411365509e-08
48,1.4668330550193787e-08
49,1.0477378964424133e-08
50,1.30385160446167e-08
51,1.30385160446167e-08
52,1.4202669262886047e-08
53,1.6530975699424744e-08
54,1.30385160446167e-08
55,1.0710209608078003e-08
56,1.234002411365509e-08
57,1.30385160446167e-08
58,1.3271346688270569e-08
59,1.280568540096283e-08
60,1.3969838619232178e-08
61,1.5832483768463135e-08
62,1.1874362826347351e-08
63,1.4435499906539917e-08
64,1.3271346688270569e-08
65,1.4901161193847656e-08
66,1.3737007975578308e-08
67,1.0943040251731873e-08
68,1.1175870895385742e-08
69,1.30385160446167e-08
70,1.3969838619232178e-08
71,1.280568540096283e-08
72,1.257285475730896e-08
73,1.0710209608078003e-08
74,1.6065314412117004e-08
75,1.257285475730896e-08
76,1.6065314412117004e-08
77,1.5133991837501526e-08
78,1.4435499906539917e-08
79,1.4668330550193787e-08
80,1.4901161193847656e-08
81,1.5133991837501526e-08
82,1.3969838619232178e-08
83,1.5366822481155396e-08
84,1.7229467630386353e-08
85,1.4435499906539917e-08
86,1.862645149230957e-08
87,2.0023435354232788e-08
88,1.7695128917694092e-08
89,1.83936208486557e-08
90,1.792795956134796e-08
91,2.3283064365386963e-08
92,1.7229467630386353e-08
93,2.0023435354232788e-08
94,2.0954757928848267e-08
95,1.6763806343078613e-08
96,2.1886080503463745e-08
97,1.5366822481155396e-08
98,2.9802322387695312e-08
99,2.1886080503463745e-08
100,2.3748725652694702e-08
101,3.119930624961853e-08
102,2.0023435354232788e-08
103,2.9336661100387573e-08
104,2.2351741790771484e-08
105,2.0954757928848267e-08
106,2.0023435354232788e-08
107,2.6542693376541138e-08
108,2.3748725652694702e-08
109,2.8870999813079834e-08
110,2.7939677238464355e-08
111,3.4458935260772705e-08
112,3.4924596548080444e-08
113,3.306195139884949e-08
114,2.7008354663848877e-08
115,2.8870999813079834e-08
116,3.3993273973464966e-08
117,3.306195139884949e-08
118,3.026798367500305e-08
119,2.60770320892334e-08
120,3.026798367500305e-08
121,4.0046870708465576e-08
122,3.4458935260772705e-08
123,3.5390257835388184e-08
124,2.7939677238464355e-08
125,3.4458935260772705e-08
126,3.3527612686157227e-08
127,4.237517714500427e-08
128,3.166496753692627e-08
129,3.119930624961853e-08
130,3.073364496231079e-08
131,3.073364496231079e-08
132,3.5390257835388184e-08
133,3.585591912269592e-08
134,3.585591912269592e-08
135,3.67872416973114e-08
136,3.119930624961853e-08
137,3.259629011154175e-08
138,3.958120942115784e-08
139,4.1443854570388794e-08
140,5.168840289115906e-08
141,4.7031790018081665e-08
142,5.681067705154419e-08
143,5.727633833885193e-08
144,4.237517714500427e-08
145,4.0512531995773315e-08
146,4.0046870708465576e-08
147,5.075708031654358e-08
148,3.67872416973114e-08
149,4.7031790018081665e-08
150,4.377216100692749e-08
151,4.190951585769653e-08
152,3.5390257835388184e-08
153,6.007030606269836e-08
154,5.774199962615967e-08
155,4.330649971961975e-08
156,5.21540641784668e-08
157,3.4924596548080444e-08
158,4.470348358154297e-08
159,5.541369318962097e-08
160,4.936009645462036e-08
161,4.423782229423523e-08
162,5.4016709327697754e-08
163,3.958120942115784e-08
164,5.3085386753082275e-08
165,5.122274160385132e-08
166,5.774199962615967e-08
167,4.889443516731262e-08
168,4.7031790018081665e-08
169,5.727633833885193e-08
170,4.889443516731262e-08
171,6.146728992462158e-08
172,5.9138983488082886e-08
173,6.193295121192932e-08
174,4.936009645462036e-08
175,6.007030606269836e-08
176,6.332993507385254e-08
177,6.239861249923706e-08
178,4.7963112592697144e-08
179,6.379559636116028e-08
180,4.563480615615845e-08
181,5.587935447692871e-08
182,6.426125764846802e-08
183,6.705522537231445e-08
184,5.122274160385132e-08
185,6.239861249923706e-08
186,6.05359673500061e-08
187,5.029141902923584e-08
188,4.842877388000488e-08
189,4.7031790018081665e-08
190,4.842877388000488e-08
191,3.91155481338501e-08
192,5.681067705154419e-08
193,3.026798367500305e-08
194,4.470348358154297e-08
195,4.516914486885071e-08
196,4.7963112592697144e-08
197,3.771856427192688e-08
198,4.6566128730773926e-08
199,3.725290298461914e-08
200,5.4016709327697754e-08
201,4.423782229423523e-08
202,4.6100467443466187e-08
203,5.774199962615967e-08
204,4.889443516731262e-08
205,6.565824151039124e-08
206,5.774199962615967e-08
207,5.774199962615967e-08
208,6.752088665962219e-08
209,4.237517714500427e-08
210,5.774199962615967e-08
211,4.377216100692749e-08
212,5.122274160385132e-08
213,5.21540641784668e-08
214,4.889443516731262e-08
215,5.587935447692871e-08
216,5.075708031654358e-08
217,5.2619725465774536e-08
218,4.6566128730773926e-08
219,6.05359673500061e-08
220,5.122274160385132e-08
221,4.98257577419281e-08
222,5.3085386753082275e-08
223,5.448237061500549e-08
224,3.632158041000366e-08
225,4.563480615615845e-08
226,2.561137080192566e-08
227,4.936009645462036e-08
228,4.284083843231201e-08
229,4.423782229423523e-08
230,5.4016709327697754e-08
231,4.889443516731262e-08
232,5.774199962615967e-08
233,5.4016709327697754e-08
234,5.3551048040390015e-08
235,6.05359673500061e-08
236,7.729977369308472e-08
237,8.009374141693115e-08
238,5.448237061500549e-08
239,6.239861249923706e-08
240,5.4016709327697754e-08
241,4.470348358154297e-08
242,4.6100467443466187e-08
243,4.6566128730773926e-08
244,5.634501576423645e-08
245,6.798654794692993e-08
246,5.774199962615967e-08
247,6.332993507385254e-08
248,7.171183824539185e-08
249,6.239861249923706e-08
250,5.4016709327697754e-08
251,5.3551048040390015e-08
252,8.195638656616211e-08
253,7.171183824539185e-08
254,5.541369318962097e-08
255,5.4016709327697754e-08
256,5.8673322200775146e-08
257,5.21540641784668e-08
258,7.543712854385376e-08
259,4.330649971961975e-08
260,4.470348358154297e-08
261,5.820766091346741e-08
262,6.379559636116028e-08
263,4.516914486885071e-08
264,7.310882210731506e-08
265,5.774199962615967e-08
266,6.984919309616089e-08
267,6.51925802230835e-08
268,6.332993507385254e-08
269,7.35744833946228e-08
270,5.541369318962097e-08
271,5.634501576423645e-08
272,6.51925802230835e-08
273,4.6566128730773926e-08
274,4.377216100692749e-08
275,5.774199962615967e-08
276,7.171183824539185e-08
277,3.818422555923462e-08
278,5.9138983488082886e-08
279,5.774199962615967e-08
280,6.984919309616089e-08
281,6.100162863731384e-08
282,8.475035429000854e-08
283,7.543712854385376e-08
284,8.102506399154663e-08
285,7.12461769580841e-08
286,8.754432201385498e-08
287,7.869675755500793e-08
288,7.729977369308472e-08
289,6.984919309616089e-08
290,9.12696123123169e-08
291,7.543712854385376e-08
292,5.21540641784668e-08
293,7.543712854385376e-08
294,8.009374141693115e-08
295,5.8673322200775146e-08
296,7.916241884231567e-08
297,1.0337680578231812e-07
298,4.6100467443466187e-08
299,7.82310962677002e-08
300,7.450580596923828e-08
301,7.450580596923828e-08
302,8.940696716308594e-08
303,8.195638656616211e-08
304,7.729977369308472e-08
305,6.426125764846802e-08
306,7.543712854385376e-08
307,7.171183824539185e-08
308,6.984919309616089e-08
309,8.102506399154663e-08
310,7.264316082000732e-08
311,8.940696716308594e-08
312,8.475035429000854e-08
313,7.916241884231567e-08
314,6.146728992462158e-08
315,8.940696716308594e-08
316,9.220093488693237e-08
317,7.729977369308472e-08
318,5.494803190231323e-08
319,7.450580596923828e-08
320,7.171183824539185e-08
321,8.102506399154663e-08
322,7.171183824539185e-08
323,9.406358003616333e-08
324,9.499490261077881e-08
325,9.872019290924072e-08
326,7.729977369308472e-08
327,8.66129994392395e-08
328,8.754432201385498e-08
329,1.0989606380462646e-07
330,9.406358003616333e-08
331,7.171183824539185e-08
332,6.984919309616089e-08
333,8.195638656616211e-08
334,7.450580596923828e-08
335,8.66129994392395e-08
336,6.984919309616089e-08
337,9.313225746154785e-08
338,9.033828973770142e-08
339,8.288770914077759e-08
340,7.171183824539185e-08
341,6.239861249923706e-08
342,9.872019290924072e-08
343,5.774199962615967e-08
344,8.381903171539307e-08
345,9.499490261077881e-08
346,5.494803190231323e-08
347,5.4016709327697754e-08
348,8.102506399154663e-08
349,8.475035429000854e-08
350,8.195638656616211e-08
351,9.033828973770142e-08
352,9.313225746154785e-08
353,8.568167686462402e-08
354,9.592622518539429e-08
355,6.332993507385254e-08
356,7.264316082000732e-08
357,1.0896474123001099e-07
358,9.033828973770142e-08
359,7.82310962677002e-08
360,7.171183824539185e-08
361,5.681067705154419e-08
362,5.21540641784668e-08
363,8.102506399154663e-08
364,7.636845111846924e-08
365,8.102506399154663e-08
366,8.102506399154663e-08
367,7.636845111846924e-08
368,7.729977369308472e-08
369,6.891787052154541e-08
370,8.754432201385498e-08
371,7.82310962677002e-08
372,1.0803341865539551e-07
373,9.12696123123169e-08
374,8.74842385201191e-08
